config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(8+2)(7+1) 32000 10000 1 1 0
(8+2)(7+1) 32000 10000 2 1 0
(8+2)(7+1) 32000 10000 2 2 0
(8+2)(7+1) 32000 10000 3 1 0
(8+2)(7+1) 32000 10000 3 2 0
(8+2)(7+1) 32000 10000 3 3 0.00075882126116820533781007579488681915049351454554
(8+2)(7+1) 32000 10000 4 1 0
(8+2)(7+1) 32000 10000 4 2 0
(8+2)(7+1) 32000 10000 4 3 0.00151706671264799016811782325331066435224048038932
(8+2)(7+1) 32000 10000 4 4 0.00303129500934572241181330278154842868473052440076
(8+2)(7+1) 32000 10000 5 1 0
(8+2)(7+1) 32000 10000 5 2 0
(8+2)(7+1) 32000 10000 5 3 0.00272929035074536154356840878810970726410597862504
(8+2)(7+1) 32000 10000 5 4 0.00529860069911549695944300764539745860225850061940
(8+2)(7+1) 32000 10000 5 5 0.00755968133502903227380486527647715547625696671699
(8+2)(7+1) 32000 10000 6 1 0
(8+2)(7+1) 32000 10000 6 2 0
(8+2)(7+1) 32000 10000 6 3 0.00454524550401285040165373304211316400405851336593
(8+2)(7+1) 32000 10000 6 4 0.00860336124975801368955277946591890377863056903469
(8+2)(7+1) 32000 10000 6 5 0.01206749902904509407205486289480862954379717215816
(8+2)(7+1) 32000 10000 6 6 0.01505956254329833689758516024873955620872339219812
(8+2)(7+1) 32000 10000 7 1 0
(8+2)(7+1) 32000 10000 7 2 0
(8+2)(7+1) 32000 10000 7 3 0.00712673304820484102704108456196658411684771599137
(8+2)(7+1) 32000 10000 7 4 0.01319471027961939652496704773734545328393253234744
(8+2)(7+1) 32000 10000 7 5 0.01823246317568509951986627490080847457731961050386
(8+2)(7+1) 32000 10000 7 6 0.02250276707757947568054678791170219918448398151231
(8+2)(7+1) 32000 10000 7 7 0.02620062897278436140069743989273678865257889036683
(8+2)(7+1) 32000 10000 8 1 0
(8+2)(7+1) 32000 10000 8 2 0
(8+2)(7+1) 32000 10000 8 3 0.01064175266010176713408702995589683216576363949919
(8+2)(7+1) 32000 10000 8 4 0.01932718002746029167080006796044186227578398638238
(8+2)(7+1) 32000 10000 8 5 0.02635583522613901248873181321589705124885546471354
(8+2)(7+1) 32000 10000 8 6 0.03221061672652760828024772746292347426603394400667
(8+2)(7+1) 32000 10000 8 7 0.03721567422105886860786731896612819461160357866256
(8+2)(7+1) 32000 10000 8 8 0.04158311612048513199817015501193756396487761233447
(8+2)(7+1) 32000 10000 9 1 0
(8+2)(7+1) 32000 10000 9 2 0
(8+2)(7+1) 32000 10000 9 3 0.01525881917410337666237262084318170455959027806080
(8+2)(7+1) 32000 10000 9 4 0.02725223863611532060121971670594057809858415501080
(8+2)(7+1) 32000 10000 9 5 0.03672986202127872296493976453591588218977718523962
(8+2)(7+1) 32000 10000 9 6 0.04449580771584484912377177493611605049615600736847
(8+2)(7+1) 32000 10000 9 7 0.05105408486154142754794120514559041089064237644757
(8+2)(7+1) 32000 10000 9 8 0.05672261594388507257330587888642107961654664847667
(8+2)(7+1) 32000 10000 9 9 0.06171107245136364133811992531769043474126072885778
(8+2)(7+1) 32000 10000 10 1 0
(8+2)(7+1) 32000 10000 10 2 0
(8+2)(7+1) 32000 10000 10 3 0.02114178810623040812111947732677929583897632811654
(8+2)(7+1) 32000 10000 10 4 0.03720991577015668717462209555370311004406515239986
(8+2)(7+1) 32000 10000 10 5 0.04962703271167584089932749120596240602664597967416
(8+2)(7+1) 32000 10000 10 6 0.05964312072687325947728508360058503116163521754980
(8+2)(7+1) 32000 10000 10 7 0.06800294405723223593057957391403085646957734485877
(8+2)(7+1) 32000 10000 10 8 0.07516250382083278636561165519980987973120248243748
(8+2)(7+1) 32000 10000 10 9 0.08141631647356106058901070508032822550130063924752
(8+2)(7+1) 32000 10000 10 10 0.08696409890741099598301528074778968599522384933812
(8+2)(7+1) 32000 10000 11 1 0
(8+2)(7+1) 32000 10000 11 2 0
(8+2)(7+1) 32000 10000 11 3 0.02844539044849535380953309573079189335606819544090
(8+2)(7+1) 32000 10000 11 4 0.04942064020454565941999935088573482406736594197429
(8+2)(7+1) 32000 10000 11 5 0.06528928752780669270336031555089625945529525657778
(8+2)(7+1) 32000 10000 11 6 0.07789674473093995527252625511118856484410390567880
(8+2)(7+1) 32000 10000 11 7 0.08829989493015334667074006236952810962706298414163
(8+2)(7+1) 32000 10000 11 8 0.09712974491171808271592635658304395565036792550491
(8+2)(7+1) 32000 10000 11 9 0.10478643423927233660663878400807898174712528855654
(8+2)(7+1) 32000 10000 11 10 0.11153746763002983103447319876994215237570628051736
(8+2)(7+1) 32000 10000 11 11 0.11756964966291055934560541955888282825390570854780
(8+2)(7+1) 32000 10000 12 1 0
(8+2)(7+1) 32000 10000 12 2 0
(8+2)(7+1) 32000 10000 12 3 0.03731152476687186374245728010682710940184305602547
(8+2)(7+1) 32000 10000 12 4 0.06407740394667458646560647807741342801813122929577
(8+2)(7+1) 32000 10000 12 5 0.08391740090496546894818810796257627708111193348052
(8+2)(7+1) 32000 10000 12 6 0.09944780156248823367572412364533272185079896777825
(8+2)(7+1) 32000 10000 12 7 0.11211941760108687937610391526402204899678851080327
(8+2)(7+1) 32000 10000 12 8 0.12277957639302558123218708383922670188096728885645
(8+2)(7+1) 32000 10000 12 9 0.13195676472381642077329958400759439004992111390768
(8+2)(7+1) 32000 10000 12 10 0.13999969380673760283611095534575090691587310308797
(8+2)(7+1) 32000 10000 12 11 0.14714928269968883371255871705515961924887668162397
(8+2)(7+1) 32000 10000 12 12 0.15357835130541691067628965319039357128080902902693
(8+2)(7+1) 32000 10000 13 1 0
(8+2)(7+1) 32000 10000 13 2 0
(8+2)(7+1) 32000 10000 13 3 0.04786623078370305797642263295278734812868282138248
(8+2)(7+1) 32000 10000 13 4 0.08133838037819502615369598774953841231086295733255
(8+2)(7+1) 32000 10000 13 5 0.10566084119182284803657983997493627057555804533963
(8+2)(7+1) 32000 10000 13 6 0.12442253208373604447812389094020895383129552437723
(8+2)(7+1) 32000 10000 13 7 0.13956002761175240781124714173590562286026599077355
(8+2)(7+1) 32000 10000 13 8 0.15218215659847891215369729257228894104353101996747
(8+2)(7+1) 32000 10000 13 9 0.16296998637047868020554178523426971884747879541735
(8+2)(7+1) 32000 10000 13 10 0.17236740856562941702014513505648796103081394844229
(8+2)(7+1) 32000 10000 13 11 0.18067800086629588317924365586611505923226791170332
(8+2)(7+1) 32000 10000 13 12 0.18811767176149509760345340838310104660188455304773
(8+2)(7+1) 32000 10000 13 13 0.19484500854066436139714581368995164370921637463620
(8+2)(7+1) 32000 10000 14 1 0
(8+2)(7+1) 32000 10000 14 2 0
(8+2)(7+1) 32000 10000 14 3 0.06021720072378030917042544524514976827025327584941
(8+2)(7+1) 32000 10000 14 4 0.10132015176042228154480929632343224690684836961974
(8+2)(7+1) 32000 10000 14 5 0.13060848549143347224054184012121925831711325342791
(8+2)(7+1) 32000 10000 14 6 0.15287170674825941821192925728403259141271476992784
(8+2)(7+1) 32000 10000 14 7 0.17063310937654453441004661268709665697055704209199
(8+2)(7+1) 32000 10000 14 8 0.18531125996705194815807290512697571774003114021528
(8+2)(7+1) 32000 10000 14 9 0.19776494251459402642954441948218963860011646168316
(8+2)(7+1) 32000 10000 14 10 0.20854732219658882049699718619687969939707140013730
(8+2)(7+1) 32000 10000 14 11 0.21803301873994074376047011825651613247079485863720
(8+2)(7+1) 32000 10000 14 12 0.22648626057644053025838190622465946354758582275369
(8+2)(7+1) 32000 10000 14 13 0.23409974068941845176140372385601601752473314676553
(8+2)(7+1) 32000 10000 14 14 0.24101794428012189057904101434330359712556575244704
(8+2)(7+1) 32000 10000 15 1 0
(8+2)(7+1) 32000 10000 15 2 0
(8+2)(7+1) 32000 10000 15 3 0.07445167541742585829387008886001742579201219377781
