config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(8+2)(7+1) 32000 100 1 1 0
(8+2)(7+1) 32000 100 2 1 0
(8+2)(7+1) 32000 100 2 2 0
(8+2)(7+1) 32000 100 3 1 0
(8+2)(7+1) 32000 100 3 2 0
(8+2)(7+1) 32000 100 3 3 0.00000759106430522449179704637744889543812711377905
(8+2)(7+1) 32000 100 4 1 0
(8+2)(7+1) 32000 100 4 2 0
(8+2)(7+1) 32000 100 4 3 0.00001518207098637177197775171095189824227916976954
(8+2)(7+1) 32000 100 4 4 0.00003035852606887665582375760314630949520540767203
(8+2)(7+1) 32000 100 5 1 0
(8+2)(7+1) 32000 100 5 2 0
(8+2)(7+1) 32000 100 5 3 0.00002732984307711895772339857407047444420893633606
(8+2)(7+1) 32000 100 5 4 0.00005312546947289858893023349257312844023042286223
(8+2)(7+1) 32000 100 5 5 0.00007588112644465296258839227424832077521209502851
(8+2)(7+1) 32000 100 6 1 0
(8+2)(7+1) 32000 100 6 2 0
(8+2)(7+1) 32000 100 6 3 0.00004555502773734939807241724915058798477145477569
(8+2)(7+1) 32000 100 6 4 0.00008640210520980148954994088318902182441505777487
(8+2)(7+1) 32000 100 6 5 0.00012140165445684605787512575187488253897977649675
(8+2)(7+1) 32000 100 6 6 0.00015172958015787675093987702823006544137908935687
(8+2)(7+1) 32000 100 7 1 0
(8+2)(7+1) 32000 100 7 2 0
(8+2)(7+1) 32000 100 7 3 0.00007151993747880314266383451526070070371285724245
(8+2)(7+1) 32000 100 7 4 0.00013281651773129284593453905759415045080061971132
(8+2)(7+1) 32000 100 7 5 0.00018399030033585101719674692552133359982307578186
(8+2)(7+1) 32000 100 7 6 0.00022757228046457160749594584514457251060252085526
(8+2)(7+1) 32000 100 7 7 0.00026546456933392994099696646804810180295007433841
(8+2)(7+1) 32000 100 8 1 0
(8+2)(7+1) 32000 100 8 2 0
(8+2)(7+1) 32000 100 8 3 0.00010698208759690754692918273449662355577217699873
(8+2)(7+1) 32000 100 8 4 0.00019514487569575380481034060467395593441423343170
(8+2)(7+1) 32000 100 8 5 0.00026705809361750450219411545009514217316182699417
(8+2)(7+1) 32000 100 8 6 0.00032735435429033539255911005341839057289178236171
(8+2)(7+1) 32000 100 8 7 0.00037918662093962743670558539110205229462678673458
(8+2)(7+1) 32000 100 8 8 0.00042463416778516515470911003041081275074510839499
(8+2)(7+1) 32000 100 9 1 0
(8+2)(7+1) 32000 100 9 2 0
(8+2)(7+1) 32000 100 9 3 0.00015375250807647562270521897432115778072576341653
(8+2)(7+1) 32000 100 9 4 0.00027626651605574558353083530502130230514887264130
(8+2)(7+1) 32000 100 9 5 0.00037414388481102065657372679449669222200557176233
(8+2)(7+1) 32000 100 9 6 0.00045505770764219082288659166853056609951184887788
(8+2)(7+1) 32000 100 9 7 0.00052389745198450223005524073093238922717840379886
(8+2)(7+1) 32000 100 9 8 0.00058377842462718901357787079353891465456139220495
(8+2)(7+1) 32000 100 9 9 0.00063677069843990144828969539094672291187877162334
(8+2)(7+1) 32000 100 10 1 0
(8+2)(7+1) 32000 100 10 2 0
(8+2)(7+1) 32000 100 10 3 0.00021366193570394660167044322961339147178049054408
(8+2)(7+1) 32000 100 10 4 0.00037912683340280849150590144682290977053677403180
(8+2)(7+1) 32000 100 10 5 0.00050887822041616307397823824020308878909664511286
(8+2)(7+1) 32000 100 10 6 0.00061476912166951185384705220907799585153997720315
(8+2)(7+1) 32000 100 10 7 0.00070400830139792923090579233240445290502678271636
(8+2)(7+1) 32000 100 10 8 0.00078106717520187310268482570031792255427378084176
(8+2)(7+1) 32000 100 10 9 0.00084886220821019483092865331401802194630120359975
(8+2)(7+1) 32000 100 10 10 0.00090938702719837735583423943277891794293993532551
(8+2)(7+1) 32000 100 11 1 0
(8+2)(7+1) 32000 100 11 2 0
(8+2)(7+1) 32000 100 11 3 0.00028853636700227363430173928880850619311547272992
(8+2)(7+1) 32000 100 11 4 0.00050670785874719261991477832282291371486560153769
(8+2)(7+1) 32000 100 11 5 0.00067495407587590977250379387890644682607456609788
(8+2)(7+1) 32000 100 11 6 0.00081065195567605941480575955146408321150800644785
(8+2)(7+1) 32000 100 11 7 0.00092401458681594921623304316676196463670987075009
(8+2)(7+1) 32000 100 11 8 0.00102124235633441065704089291821480122958303982348
(8+2)(7+1) 32000 100 11 9 0.00110631726143942986734990878404626277535220324554
(8+2)(7+1) 32000 100 11 10 0.00118192898917174340834360956520407531344830427357
(8+2)(7+1) 32000 100 11 11 0.00124997229721936386259127147165880557593859737045
(8+2)(7+1) 32000 100 12 1 0
(8+2)(7+1) 32000 100 12 2 0
(8+2)(7+1) 32000 100 12 3 0.00038018184821991567646187748675432658467983198597
(8+2)(7+1) 32000 100 12 4 0.00066200580188586855866272290748884916699665869167
(8+2)(7+1) 32000 100 12 5 0.00087610344396590010549485366878819499503148893431
(8+2)(7+1) 32000 100 12 6 0.00104692309308094824139671264124835260856752072808
(8+2)(7+1) 32000 100 12 7 0.00118847344850735977967562010518904989699372136918
(8+2)(7+1) 32000 100 12 8 0.00130911216393254605105050061559862084491647356334
(8+2)(7+1) 32000 100 12 9 0.00141413671837716221877703633411523185555479539513
