config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 17 1 0
(9+1)(9+1) 32000 17 2 0.0003009
(9+1)(9+1) 32000 17 3 0.000184
(9+1)(9+1) 32000 17 4 0.0001174
(9+1)(9+1) 32000 17 5 8.33E-05
(9+1)(9+1) 32000 17 6 5.21E-05
(9+1)(9+1) 32000 17 7 3.48E-05
(9+1)(9+1) 32000 17 8 2.55E-05
(9+1)(9+1) 32000 17 9 1.74E-05
(9+1)(9+1) 32000 17 10 1.17E-05
(9+1)(9+1) 32000 17 11 6.30E-06
(9+1)(9+1) 32000 17 12 4.40E-06
(9+1)(9+1) 32000 17 13 3.60E-06
(9+1)(9+1) 32000 17 14 1.00E-06
(9+1)(9+1) 32000 17 15 3.00E-07
(9+1)(9+1) 32000 17 16 0
(9+1)(9+1) 32000 17 17 0
(9+1)(9+1) 32000 18 1 0
(9+1)(9+1) 32000 18 2 0.0003936
(9+1)(9+1) 32000 18 3 0.0002361
(9+1)(9+1) 32000 18 4 0.0001463
(9+1)(9+1) 32000 18 5 9.87E-05
(9+1)(9+1) 32000 18 6 6.96E-05
(9+1)(9+1) 32000 18 7 4.79E-05
(9+1)(9+1) 32000 18 8 3.48E-05
(9+1)(9+1) 32000 18 9 2.35E-05
(9+1)(9+1) 32000 18 10 1.59E-05
(9+1)(9+1) 32000 18 11 9.80E-06
(9+1)(9+1) 32000 18 12 8.00E-06
(9+1)(9+1) 32000 18 13 4.30E-06
(9+1)(9+1) 32000 18 14 2.50E-06
(9+1)(9+1) 32000 18 15 1.40E-06
(9+1)(9+1) 32000 18 16 1.00E-07
(9+1)(9+1) 32000 18 17 0
(9+1)(9+1) 32000 18 18 0
(9+1)(9+1) 32000 19 1 0
(9+1)(9+1) 32000 19 2 0.0004795
(9+1)(9+1) 32000 19 3 0.0002925
(9+1)(9+1) 32000 19 4 0.0001927
(9+1)(9+1) 32000 19 5 0.00013
(9+1)(9+1) 32000 19 6 8.54E-05
(9+1)(9+1) 32000 19 7 6.61E-05
(9+1)(9+1) 32000 19 8 4.40E-05
(9+1)(9+1) 32000 19 9 3.06E-05
(9+1)(9+1) 32000 19 10 2.21E-05
(9+1)(9+1) 32000 19 11 1.52E-05
(9+1)(9+1) 32000 19 12 1.04E-05
(9+1)(9+1) 32000 19 13 7.60E-06
(9+1)(9+1) 32000 19 14 5.00E-06
(9+1)(9+1) 32000 19 15 2.60E-06
(9+1)(9+1) 32000 19 16 1.60E-06
(9+1)(9+1) 32000 19 17 4.00E-07
(9+1)(9+1) 32000 19 18 0
(9+1)(9+1) 32000 19 19 0
(9+1)(9+1) 32000 20 1 0
(9+1)(9+1) 32000 20 2 0.0005928
(9+1)(9+1) 32000 20 3 0.0003692
(9+1)(9+1) 32000 20 4 0.000236
(9+1)(9+1) 32000 20 5 0.0001612
(9+1)(9+1) 32000 20 6 0.0001182
(9+1)(9+1) 32000 20 7 8.33E-05
(9+1)(9+1) 32000 20 8 5.86E-05
(9+1)(9+1) 32000 20 9 4.44E-05
(9+1)(9+1) 32000 20 10 3.30E-05
(9+1)(9+1) 32000 20 11 2.52E-05
(9+1)(9+1) 32000 20 12 1.52E-05
(9+1)(9+1) 32000 20 13 1.26E-05
(9+1)(9+1) 32000 20 14 7.50E-06
(9+1)(9+1) 32000 20 15 4.30E-06
(9+1)(9+1) 32000 20 16 3.10E-06
(9+1)(9+1) 32000 20 17 1.10E-06
(9+1)(9+1) 32000 20 18 4.00E-07
(9+1)(9+1) 32000 20 19 0
(9+1)(9+1) 32000 20 20 0
