config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 82 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 83 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 84 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 85 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 86 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 87 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 88 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 89 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 90 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 91 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 92 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 93 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 94 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 95 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 96 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 97 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 98 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 99 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 100 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 2 2 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 3 2 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 4 2 0.0085 nines sigma 85 10000 notadapt
(1+0)(8+2) 32000 5 2 0.0282 nines sigma 282 10000 notadapt
(1+0)(8+2) 32000 6 2 0.0557 nines sigma 557 10000 notadapt
(1+0)(8+2) 32000 7 2 0.1059 nines sigma 1059 10000 notadapt
(1+0)(8+2) 32000 8 2 0.1709 nines sigma 1709 10000 notadapt
(1+0)(8+2) 32000 9 2 0.2296 nines sigma 2296 10000 notadapt
(1+0)(8+2) 32000 10 2 0.3008 nines sigma 3008 10000 notadapt
(1+0)(8+2) 32000 11 2 0.3995 nines sigma 3995 10000 notadapt
(1+0)(8+2) 32000 12 2 0.4839 nines sigma 4839 10000 notadapt
(1+0)(8+2) 32000 13 2 0.5767 nines sigma 5767 10000 notadapt
(1+0)(8+2) 32000 14 2 0.6525 nines sigma 6525 10000 notadapt
(1+0)(8+2) 32000 15 2 0.7324 nines sigma 7324 10000 notadapt
(1+0)(8+2) 32000 16 2 0.804 nines sigma 8040 10000 notadapt
(1+0)(8+2) 32000 17 2 0.8549 nines sigma 8549 10000 notadapt
(1+0)(8+2) 32000 18 2 0.8952 nines sigma 8952 10000 notadapt
(1+0)(8+2) 32000 19 2 0.9356 nines sigma 9356 10000 notadapt
(1+0)(8+2) 32000 20 2 0.96 nines sigma 9600 10000 notadapt
(1+0)(8+2) 32000 21 2 0.976 nines sigma 9760 10000 notadapt
(1+0)(8+2) 32000 22 2 0.988 nines sigma 9880 10000 notadapt
(1+0)(8+2) 32000 23 2 0.9929 nines sigma 9929 10000 notadapt
(1+0)(8+2) 32000 24 2 0.9972 nines sigma 9972 10000 notadapt
(1+0)(8+2) 32000 25 2 0.9995 nines sigma 9995 10000 notadapt
(1+0)(8+2) 32000 26 2 0.9992 nines sigma 9992 10000 notadapt
(1+0)(8+2) 32000 27 2 0.9996 nines sigma 9996 10000 notadapt
(1+0)(8+2) 32000 28 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 29 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 30 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 31 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 32 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 33 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 34 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 35 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 36 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 37 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 38 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 39 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 40 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 41 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 42 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 43 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 44 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 45 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 46 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 47 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 48 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 49 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 50 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 51 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 52 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 53 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 54 2 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 3 3 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 4 3 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 5 3 0.0055 nines sigma 55 10000 notadapt
(1+0)(8+2) 32000 6 3 0.0168 nines sigma 168 10000 notadapt
(1+0)(8+2) 32000 7 3 0.0374 nines sigma 374 10000 notadapt
(1+0)(8+2) 32000 8 3 0.0682 nines sigma 682 10000 notadapt
(1+0)(8+2) 32000 9 3 0.1064 nines sigma 1064 10000 notadapt
(1+0)(8+2) 32000 10 3 0.1481 nines sigma 1481 10000 notadapt
(1+0)(8+2) 32000 11 3 0.2047 nines sigma 2047 10000 notadapt
(1+0)(8+2) 32000 12 3 0.2634 nines sigma 2634 10000 notadapt
(1+0)(8+2) 32000 13 3 0.3231 nines sigma 3231 10000 notadapt
(1+0)(8+2) 32000 14 3 0.3854 nines sigma 3854 10000 notadapt
(1+0)(8+2) 32000 15 3 0.45 nines sigma 4500 10000 notadapt
(1+0)(8+2) 32000 16 3 0.5172 nines sigma 5172 10000 notadapt
(1+0)(8+2) 32000 17 3 0.596 nines sigma 5960 10000 notadapt
(1+0)(8+2) 32000 18 3 0.6513 nines sigma 6513 10000 notadapt
(1+0)(8+2) 32000 19 3 0.7106 nines sigma 7106 10000 notadapt
(1+0)(8+2) 32000 4 4 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 5 4 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 6 4 0.0049 nines sigma 49 10000 notadapt
(1+0)(8+2) 32000 7 4 0.0136 nines sigma 136 10000 notadapt
(1+0)(8+2) 32000 8 4 0.0326 nines sigma 326 10000 notadapt
(1+0)(8+2) 32000 9 4 0.0523 nines sigma 523 10000 notadapt
(1+0)(8+2) 32000 10 4 0.0767 nines sigma 767 10000 notadapt
(1+0)(8+2) 32000 11 4 0.1046 nines sigma 1046 10000 notadapt
(1+0)(8+2) 32000 12 4 0.1528 nines sigma 1528 10000 notadapt
(1+0)(8+2) 32000 13 4 0.191 nines sigma 1910 10000 notadapt
(1+0)(8+2) 32000 14 4 0.2445 nines sigma 2445 10000 notadapt
