config total_drives failed_disks affected_racks dl_prob
(1+0)(8+2) 32000 17 7 0.13465
(1+0)(8+2) 32000 17 8 0.09588
(1+0)(8+2) 32000 17 9 0.06453
(1+0)(8+2) 32000 17 10 0.04262
(1+0)(8+2) 32000 17 11 0.02785
(1+0)(8+2) 32000 17 12 0.01736
(1+0)(8+2) 32000 17 13 0.00924
(1+0)(8+2) 32000 17 14 0.00438
(1+0)(8+2) 32000 17 15 0.0015
(1+0)(8+2) 32000 17 16 0
(1+0)(8+2) 32000 17 17 0
(1+0)(8+2) 32000 18 1 1
(1+0)(8+2) 32000 18 2 0.90175
(1+0)(8+2) 32000 18 3 0.65479
(1+0)(8+2) 32000 18 4 0.45756
(1+0)(8+2) 32000 18 5 0.32208
(1+0)(8+2) 32000 18 6 0.23234
(1+0)(8+2) 32000 18 7 0.16526
(1+0)(8+2) 32000 18 8 0.1182
(1+0)(8+2) 32000 18 9 0.08497
(1+0)(8+2) 32000 18 10 0.05895
(1+0)(8+2) 32000 18 11 0.03932
(1+0)(8+2) 32000 18 12 0.02637
(1+0)(8+2) 32000 18 13 0.01587
(1+0)(8+2) 32000 18 14 0.00878
(1+0)(8+2) 32000 18 15 0.00412
(1+0)(8+2) 32000 18 16 0.00121
(1+0)(8+2) 32000 18 17 0
(1+0)(8+2) 32000 18 18 0
(1+0)(8+2) 32000 19 1 1
(1+0)(8+2) 32000 19 2 0.93546
(1+0)(8+2) 32000 19 3 0.71436
(1+0)(8+2) 32000 19 4 0.5153
(1+0)(8+2) 32000 19 5 0.37151
(1+0)(8+2) 32000 19 6 0.27041
(1+0)(8+2) 32000 19 7 0.19967
(1+0)(8+2) 32000 19 8 0.14572
(1+0)(8+2) 32000 19 9 0.10447
(1+0)(8+2) 32000 19 10 0.07523
(1+0)(8+2) 32000 19 11 0.05272
(1+0)(8+2) 32000 19 12 0.03615
(1+0)(8+2) 32000 19 13 0.02398
(1+0)(8+2) 32000 19 14 0.01446
(1+0)(8+2) 32000 19 15 0.00787
(1+0)(8+2) 32000 19 16 0.00402
(1+0)(8+2) 32000 19 17 0.00123
(1+0)(8+2) 32000 19 18 0
(1+0)(8+2) 32000 19 19 0
(1+0)(8+2) 32000 20 1 1
(1+0)(8+2) 32000 20 2 0.95945
(1+0)(8+2) 32000 20 3 0.76646
(1+0)(8+2) 32000 20 4 0.56805
(1+0)(8+2) 32000 20 5 0.42042
(1+0)(8+2) 32000 20 6 0.31101
(1+0)(8+2) 32000 20 7 0.23193
(1+0)(8+2) 32000 20 8 0.17244
(1+0)(8+2) 32000 20 9 0.12731
(1+0)(8+2) 32000 20 10 0.09608
(1+0)(8+2) 32000 20 11 0.06839
(1+0)(8+2) 32000 20 12 0.04811
(1+0)(8+2) 32000 20 13 0.03303
(1+0)(8+2) 32000 20 14 0.02161
(1+0)(8+2) 32000 20 15 0.01351
(1+0)(8+2) 32000 20 16 0.00807
(1+0)(8+2) 32000 20 17 0.00343
(1+0)(8+2) 32000 20 18 0.00122
(1+0)(8+2) 32000 20 19 0
(1+0)(8+2) 32000 20 20 0
