(9+1)/(9+1)	0.0000	0.00	9260.8
(9+1)/(18+2)	0.0000	0.00	6143.7
(18+2)/(9+1)	0.8639	0.87	4919.3
(18+2)/(18+2)	1.0000	6.62	3784.7
(18+2)/(27+3)	1.0000	1000	3389.5
