config total_drives failed_disks affected_racks dl_prob
(8+2)(1+0) 32000 1 1 0.0
(8+2)(1+0) 32000 2 1 0.0
(8+2)(1+0) 32000 2 2 0.0
(8+2)(1+0) 32000 3 1 0.0
(8+2)(1+0) 32000 3 2 0.0
(8+2)(1+0) 32000 3 3 7.591093120762338e-08
(8+2)(1+0) 32000 4 1 0.0
(8+2)(1+0) 32000 4 2 0.0
(8+2)(1+0) 32000 4 3 1.5182186230422445e-07
(8+2)(1+0) 32000 4 4 3.0358986902179197e-07
(8+2)(1+0) 32000 5 1 0.0
(8+2)(1+0) 32000 5 2 0.0
(8+2)(1+0) 32000 5 3 2.733021654544032e-07
(8+2)(1+0) 32000 5 4 5.312688067249383e-07
(8+2)(1+0) 32000 5 5 7.588400555702535e-07
(8+2)(1+0) 32000 6 1 0.0
(8+2)(1+0) 32000 6 2 0.0
(8+2)(1+0) 32000 6 3 4.555605745970581e-07
(8+2)(1+0) 32000 6 4 8.640583185615114e-07
(8+2)(1+0) 32000 6 5 1.2140902196922099e-06
(8+2)(1+0) 32000 6 6 1.5174108618509763e-06
(8+2)(1+0) 32000 7 1 0.0
(8+2)(1+0) 32000 7 2 0.0
(8+2)(1+0) 32000 7 3 7.152244528851881e-07
(8+2)(1+0) 32000 7 4 1.3282529196523285e-06
(8+2)(1+0) 32000 7 5 1.8400719994371428e-06
(8+2)(1+0) 32000 7 6 2.275981556110196e-06
(8+2)(1+0) 32000 7 7 2.654997689921501e-06
(8+2)(1+0) 32000 8 1 0.0
(8+2)(1+0) 32000 8 2 0.0
(8+2)(1+0) 32000 8 3 1.0698762412664209e-06
(8+2)(1+0) 32000 8 4 1.9516373012118393e-06
(8+2)(1+0) 32000 8 5 2.6709362140886483e-06
(8+2)(1+0) 32000 8 6 3.274078419157611e-06
(8+2)(1+0) 32000 8 7 3.7925841815944494e-06
(8+2)(1+0) 32000 8 8 4.247241814359093e-06
(8+2)(1+0) 32000 9 1 0.0
(8+2)(1+0) 32000 9 2 0.0
(8+2)(1+0) 32000 9 3 1.537637932536029e-06
(8+2)(1+0) 32000 9 4 2.763041193398763e-06
(8+2)(1+0) 32000 9 5 3.7421344177834825e-06
(8+2)(1+0) 32000 9 6 4.5516092399555674e-06
(8+2)(1+0) 32000 9 7 5.240344111201445e-06
(8+2)(1+0) 32000 9 8 5.839485154202073e-06
(8+2)(1+0) 32000 9 9 6.369730164879073e-06
(8+2)(1+0) 32000 10 1 0.0
(8+2)(1+0) 32000 10 2 0.0
(8+2)(1+0) 32000 10 3 2.136834612809224e-06
(8+2)(1+0) 32000 10 4 3.79197313771229e-06
(8+2)(1+0) 32000 10 5 5.090065610446892e-06
(8+2)(1+0) 32000 10 6 6.149572106872725e-06
(8+2)(1+0) 32000 10 7 7.042553897940174e-06
(8+2)(1+0) 32000 10 8 7.813715108051511e-06
(8+2)(1+0) 32000 10 9 8.492216946986986e-06
(8+2)(1+0) 32000 10 10 9.097995049112129e-06
(8+2)(1+0) 32000 11 1 0.0
(8+2)(1+0) 32000 11 2 0.0
(8+2)(1+0) 32000 11 3 2.8857518533653703e-06
(8+2)(1+0) 32000 11 4 5.068331998980824e-06
(8+2)(1+0) 32000 11 5 6.751792927861544e-06
(8+2)(1+0) 32000 11 6 8.109784867982306e-06
(8+2)(1+0) 32000 11 7 9.24439808414057e-06
(8+2)(1+0) 32000 11 8 1.021762312380936e-05
(8+2)(1+0) 32000 11 9 1.1069276874997591e-05
(8+2)(1+0) 32000 11 10 1.1826257110936211e-05
(8+2)(1+0) 32000 11 11 1.2507513814874471e-05
(8+2)(1+0) 32000 12 1 0.0
(8+2)(1+0) 32000 12 2 0.0
(8+2)(1+0) 32000 12 3 3.8024856922058703e-06
(8+2)(1+0) 32000 12 4 6.622188932103867e-06
(8+2)(1+0) 32000 12 5 8.764820278894803e-06
(8+2)(1+0) 32000 12 6 1.047466887371673e-05
(8+2)(1+0) 32000 12 7 1.1891761976356996e-05
(8+2)(1+0) 32000 12 8 1.309966005980101e-05
(8+2)(1+0) 32000 12 9 1.415133701576643e-05
(8+2)(1+0) 32000 12 10 1.5082211479167107e-05
(8+2)(1+0) 32000 12 11 1.5917027878287193e-05
(8+2)(1+0) 32000 12 12 1.6673708454262304e-05
(8+2)(1+0) 32000 13 1 0.0
(8+2)(1+0) 32000 13 2 0.0
(8+2)(1+0) 32000 13 3 4.90487144333418e-06
(8+2)(1+0) 32000 13 4 8.483629461375486e-06
(8+2)(1+0) 32000 13 5 1.1166918672089743e-05
(8+2)(1+0) 32000 13 6 1.3287076858881086e-05
(8+2)(1+0) 32000 13 7 1.5031064939829974e-05
(8+2)(1+0) 32000 13 8 1.6508875385845556e-05
