config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(8+2)(8+2) 400 13 5 0.0006 3.222 0.177 6 10000.0 notadapt
(8+2)(8+2) 400 14 5 0.0021 2.678 0.095 21 10000.0 notadapt
(8+2)(8+2) 400 15 5 0.0052 2.284 0.06 52 10000.0 notadapt
(8+2)(8+2) 400 16 5 0.0094 2.027 0.045 94 10000.0 notadapt
(8+2)(8+2) 400 17 5 0.0178 1.75 0.033 178 10000.0 notadapt
(8+2)(8+2) 400 18 5 0.0275 1.561 0.026 275 10000.0 notadapt
(8+2)(8+2) 400 19 5 0.044 1.357 0.021 440 10000.0 notadapt
(8+2)(8+2) 400 20 5 0.069 1.161 0.017 690 10000.0 notadapt
(8+2)(8+2) 400 6 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 7 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 8 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 9 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 6 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 6 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(8+2) 400 13 6 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(8+2) 400 14 6 0.0005 3.301 0.194 5 10000.0 notadapt
(8+2)(8+2) 400 15 6 0.0016 2.796 0.109 16 10000.0 notadapt
(8+2)(8+2) 400 16 6 0.0038 2.42 0.07 38 10000.0 notadapt
(8+2)(8+2) 400 17 6 0.0072 2.143 0.051 72 10000.0 notadapt
(8+2)(8+2) 400 18 6 0.0139 1.857 0.037 139 10000.0 notadapt
(8+2)(8+2) 400 19 6 0.022 1.658 0.029 220 10000.0 notadapt
(8+2)(8+2) 400 20 6 0.036 1.444 0.023 360 10000.0 notadapt
(8+2)(8+2) 400 7 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 8 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 9 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 13 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 14 7 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 15 7 0.0005 3.301 0.194 5 10000.0 notadapt
(8+2)(8+2) 400 16 7 0.0012 2.921 0.125 12 10000.0 notadapt
(8+2)(8+2) 400 17 7 0.0033 2.481 0.076 33 10000.0 notadapt
(8+2)(8+2) 400 18 7 0.0056 2.252 0.058 56 10000.0 notadapt
(8+2)(8+2) 400 19 7 0.0092 2.036 0.045 92 10000.0 notadapt
(8+2)(8+2) 400 20 7 0.0172 1.764 0.033 172 10000.0 notadapt
(8+2)(8+2) 400 8 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 9 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 13 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 14 8 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 15 8 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(8+2) 400 16 8 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(8+2) 400 17 8 0.0013 2.886 0.12 13 10000.0 notadapt
(8+2)(8+2) 400 18 8 0.0025 2.602 0.087 25 10000.0 notadapt
(8+2)(8+2) 400 19 8 0.0036 2.444 0.072 36 10000.0 notadapt
(8+2)(8+2) 400 20 8 0.0073 2.137 0.051 73 10000.0 notadapt
(8+2)(8+2) 400 9 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 10 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 11 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 12 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 13 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 14 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 15 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 16 9 0.0 0 0 0 10000.0 notadapt
(8+2)(8+2) 400 17 9 0.0001 4.0 0.434 1 10000.0 notadapt
(8+2)(8+2) 400 18 9 0.0007 3.155 0.164 7 10000.0 notadapt
(8+2)(8+2) 400 19 9 0.0014 2.854 0.116 14 10000.0 notadapt
(8+2)(8+2) 400 20 9 0.0041 2.387 0.068 41 10000.0 notadapt
