config total_drives failed_disks affected_racks dl_prob
(8+2)(8+2) 32000 17 4 6.106226635438361e-15
(8+2)(8+2) 32000 17 5 1.6653345369377348e-15
(8+2)(8+2) 32000 17 6 4.440892098500626e-16
(8+2)(8+2) 32000 17 7 1.1102230246251565e-16
(8+2)(8+2) 32000 17 8 0.0
(8+2)(8+2) 32000 17 9 0.0
(8+2)(8+2) 32000 17 10 0.0
(8+2)(8+2) 32000 17 11 0.0
(8+2)(8+2) 32000 17 12 0.0
(8+2)(8+2) 32000 17 13 0.0
(8+2)(8+2) 32000 17 14 0.0
(8+2)(8+2) 32000 17 15 0.0
(8+2)(8+2) 32000 17 16 0.0
(8+2)(8+2) 32000 17 17 0.0
(8+2)(8+2) 32000 18 1 0.0
(8+2)(8+2) 32000 18 2 0.0
(8+2)(8+2) 32000 18 3 4.296563105299356e-14
(8+2)(8+2) 32000 18 4 1.2323475573339238e-14
(8+2)(8+2) 32000 18 5 3.552713678800501e-15
(8+2)(8+2) 32000 18 6 1.1102230246251565e-15
(8+2)(8+2) 32000 18 7 3.3306690738754696e-16
(8+2)(8+2) 32000 18 8 1.1102230246251565e-16
(8+2)(8+2) 32000 18 9 0.0
(8+2)(8+2) 32000 18 10 0.0
(8+2)(8+2) 32000 18 11 0.0
(8+2)(8+2) 32000 18 12 0.0
(8+2)(8+2) 32000 18 13 0.0
(8+2)(8+2) 32000 18 14 0.0
(8+2)(8+2) 32000 18 15 0.0
(8+2)(8+2) 32000 18 16 0.0
(8+2)(8+2) 32000 18 17 0.0
(8+2)(8+2) 32000 18 18 0.0
(8+2)(8+2) 32000 19 1 0.0
(8+2)(8+2) 32000 19 2 0.0
(8+2)(8+2) 32000 19 3 8.104628079763643e-14
(8+2)(8+2) 32000 19 4 2.3647750424515834e-14
(8+2)(8+2) 32000 19 5 7.105427357601002e-15
(8+2)(8+2) 32000 19 6 2.220446049250313e-15
(8+2)(8+2) 32000 19 7 7.771561172376096e-16
(8+2)(8+2) 32000 19 8 2.220446049250313e-16
(8+2)(8+2) 32000 19 9 1.1102230246251565e-16
(8+2)(8+2) 32000 19 10 0.0
(8+2)(8+2) 32000 19 11 0.0
(8+2)(8+2) 32000 19 12 0.0
(8+2)(8+2) 32000 19 13 0.0
(8+2)(8+2) 32000 19 14 0.0
(8+2)(8+2) 32000 19 15 0.0
(8+2)(8+2) 32000 19 16 0.0
(8+2)(8+2) 32000 19 17 0.0
(8+2)(8+2) 32000 19 18 0.0
(8+2)(8+2) 32000 19 19 0.0
(8+2)(8+2) 32000 20 1 0.0
(8+2)(8+2) 32000 20 2 0.0
(8+2)(8+2) 32000 20 3 1.4632739464559563e-13
(8+2)(8+2) 32000 20 4 4.3298697960381105e-14
(8+2)(8+2) 32000 20 5 1.3322676295501878e-14
(8+2)(8+2) 32000 20 6 4.440892098500626e-15
(8+2)(8+2) 32000 20 7 1.5543122344752192e-15
(8+2)(8+2) 32000 20 8 5.551115123125783e-16
(8+2)(8+2) 32000 20 9 2.220446049250313e-16
(8+2)(8+2) 32000 20 10 0.0
(8+2)(8+2) 32000 20 11 0.0
(8+2)(8+2) 32000 20 12 0.0
(8+2)(8+2) 32000 20 13 0.0
(8+2)(8+2) 32000 20 14 0.0
(8+2)(8+2) 32000 20 15 0.0
(8+2)(8+2) 32000 20 16 0.0
(8+2)(8+2) 32000 20 17 0.0
(8+2)(8+2) 32000 20 18 0.0
(8+2)(8+2) 32000 20 19 0.0
(8+2)(8+2) 32000 20 20 0.0
(8+2)(8+2) 32000 21 1 0.0
(8+2)(8+2) 32000 21 2 0.0
(8+2)(8+2) 32000 21 3 2.5435209494162336e-13
(8+2)(8+2) 32000 21 4 7.593925488436071e-14
(8+2)(8+2) 32000 21 5 2.3869795029440866e-14
(8+2)(8+2) 32000 21 6 8.104628079763643e-15
(8+2)(8+2) 32000 21 7 2.886579864025407e-15
(8+2)(8+2) 32000 21 8 9.992007221626409e-16
(8+2)(8+2) 32000 21 9 3.3306690738754696e-16
(8+2)(8+2) 32000 21 10 1.1102230246251565e-16
(8+2)(8+2) 32000 21 11 0.0
(8+2)(8+2) 32000 21 12 0.0
(8+2)(8+2) 32000 21 13 0.0
(8+2)(8+2) 32000 21 14 0.0
(8+2)(8+2) 32000 21 15 0.0
(8+2)(8+2) 32000 21 16 0.0
(8+2)(8+2) 32000 21 17 0.0
(8+2)(8+2) 32000 21 18 0.0
(8+2)(8+2) 32000 21 19 0.0
(8+2)(8+2) 32000 21 20 0.0
(8+2)(8+2) 32000 21 21 0.0
(8+2)(8+2) 32000 22 1 0.0
(8+2)(8+2) 32000 22 2 0.0
(8+2)(8+2) 32000 22 3 4.275468867831478e-13
(8+2)(8+2) 32000 22 4 1.2856382625159313e-13
(8+2)(8+2) 32000 22 5 4.107825191113079e-14
(8+2)(8+2) 32000 22 6 1.432187701766452e-14
(8+2)(8+2) 32000 22 7 5.218048215738236e-15
(8+2)(8+2) 32000 22 8 1.9984014443252818e-15
(8+2)(8+2) 32000 22 9 7.771561172376096e-16
(8+2)(8+2) 32000 22 10 3.3306690738754696e-16
(8+2)(8+2) 32000 22 11 1.1102230246251565e-16
(8+2)(8+2) 32000 22 12 0.0
(8+2)(8+2) 32000 22 13 0.0
(8+2)(8+2) 32000 22 14 0.0
(8+2)(8+2) 32000 22 15 0.0
(8+2)(8+2) 32000 22 16 0.0
(8+2)(8+2) 32000 22 17 0.0
(8+2)(8+2) 32000 22 18 0.0
(8+2)(8+2) 32000 22 19 0.0
(8+2)(8+2) 32000 22 20 0.0
(8+2)(8+2) 32000 22 21 0.0
(8+2)(8+2) 32000 22 22 0.0
(8+2)(8+2) 32000 23 1 0.0
(8+2)(8+2) 32000 23 2 0.0
(8+2)(8+2) 32000 23 3 6.977751709769109e-13
(8+2)(8+2) 32000 23 4 2.1116441928370477e-13
(8+2)(8+2) 32000 23 5 6.838973831690964e-14
(8+2)(8+2) 32000 23 6 2.4202861936828413e-14
(8+2)(8+2) 32000 23 7 9.103828801926284e-15
(8+2)(8+2) 32000 23 8 3.552713678800501e-15
(8+2)(8+2) 32000 23 9 1.4432899320127035e-15
(8+2)(8+2) 32000 23 10 5.551115123125783e-16
(8+2)(8+2) 32000 23 11 2.220446049250313e-16
(8+2)(8+2) 32000 23 12 1.1102230246251565e-16
(8+2)(8+2) 32000 23 13 0.0
(8+2)(8+2) 32000 23 14 0.0
(8+2)(8+2) 32000 23 15 0.0
(8+2)(8+2) 32000 23 16 0.0
(8+2)(8+2) 32000 23 17 0.0
(8+2)(8+2) 32000 23 18 0.0
(8+2)(8+2) 32000 23 19 0.0
(8+2)(8+2) 32000 23 20 0.0
(8+2)(8+2) 32000 23 21 0.0
(8+2)(8+2) 32000 23 22 0.0
(8+2)(8+2) 32000 23 23 0.0
(8+2)(8+2) 32000 24 1 0.0
(8+2)(8+2) 32000 24 2 0.0
(8+2)(8+2) 32000 24 3 1.1088907569956064e-12
(8+2)(8+2) 32000 24 4 3.3717473257866004e-13
(8+2)(8+2) 32000 24 5 1.1024514634527804e-13
(8+2)(8+2) 32000 24 6 3.9745984281580604e-14
(8+2)(8+2) 32000 24 7 1.532107773982716e-14
(8+2)(8+2) 32000 24 8 6.217248937900877e-15
(8+2)(8+2) 32000 24 9 2.55351295663786e-15
(8+2)(8+2) 32000 24 10 9.992007221626409e-16
(8+2)(8+2) 32000 24 11 4.440892098500626e-16
