config total_drives failed_disks affected_racks dl_prob
(9+1)(9+1) 32000 1 1 0.0
(9+1)(9+1) 32000 2 1 0.0
(9+1)(9+1) 32000 2 2 0.0
(9+1)(9+1) 32000 3 1 0.0
(9+1)(9+1) 32000 3 2 0.0
(9+1)(9+1) 32000 3 3 0.0
(9+1)(9+1) 32000 4 1 0.0
(9+1)(9+1) 32000 4 2 1.5696878619131382e-07
(9+1)(9+1) 32000 4 3 0.0
(9+1)(9+1) 32000 4 4 0.0
(9+1)(9+1) 32000 5 1 0.0
(9+1)(9+1) 32000 5 2 7.277120926962866e-07
(9+1)(9+1) 32000 5 3 2.1970912755797656e-07
(9+1)(9+1) 32000 5 4 0.0
(9+1)(9+1) 32000 5 5 0.0
(9+1)(9+1) 32000 6 1 0.0
(9+1)(9+1) 32000 6 2 2.09883200052996e-06
(9+1)(9+1) 32000 6 3 9.105195790670706e-07
(9+1)(9+1) 32000 6 4 2.534812326704383e-07
(9+1)(9+1) 32000 6 5 0.0
(9+1)(9+1) 32000 6 6 0.0
(9+1)(9+1) 32000 7 1 0.0
(9+1)(9+1) 32000 7 2 4.787777272752258e-06
(9+1)(9+1) 32000 7 3 2.401255517758827e-06
(9+1)(9+1) 32000 7 4 9.840757557721957e-07
(9+1)(9+1) 32000 7 5 2.745848345364621e-07
(9+1)(9+1) 32000 7 6 0.0
(9+1)(9+1) 32000 7 7 0.0
(9+1)(9+1) 32000 8 1 0.0
(9+1)(9+1) 32000 8 2 9.437317335936335e-06
(9+1)(9+1) 32000 8 3 5.093131959510444e-06
(9+1)(9+1) 32000 8 4 2.4639508754420447e-06
(9+1)(9+1) 32000 8 5 1.0210824528122942e-06
(9+1)(9+1) 32000 8 6 2.890223845808393e-07
(9+1)(9+1) 32000 8 7 0.0
(9+1)(9+1) 32000 8 8 0.0
(9+1)(9+1) 32000 9 1 0.0
(9+1)(9+1) 32000 9 2 1.6808259020617555e-05
(9+1)(9+1) 32000 9 3 9.455730107132965e-06
(9+1)(9+1) 32000 9 4 5.009836056446559e-06
(9+1)(9+1) 32000 9 5 2.4695234042138026e-06
(9+1)(9+1) 32000 9 6 1.0423628308275923e-06
(9+1)(9+1) 32000 9 7 2.995215248047245e-07
(9+1)(9+1) 32000 9 8 0.0
(9+1)(9+1) 32000 9 9 0.0
(9+1)(9+1) 32000 10 1 0.0
(9+1)(9+1) 32000 10 2 2.777287612909518e-05
(9+1)(9+1) 32000 10 3 1.6024599343467116e-05
(9+1)(9+1) 32000 10 4 8.980402126934628e-06
