config total_drives failed_disks affected_racks dl_prob failed_iters total_iters
(9+1)(1+0) 32000 13 9 0.020818 20818 100000
(9+1)(1+0) 32000 13 10 0.021291 21291 100000
(9+1)(1+0) 32000 13 11 0.021694 21694 100000
(9+1)(1+0) 32000 13 12 0.022114 22114 100000
(9+1)(1+0) 32000 13 13 0.022481 22481 100000
(9+1)(1+0) 32000 14 1 0 0 100000
(9+1)(1+0) 32000 14 2 0.012882 12882 100000
(9+1)(1+0) 32000 14 3 0.017221 17221 100000
(9+1)(1+0) 32000 14 4 0.01957 19570 100000
(9+1)(1+0) 32000 14 5 0.02109 21090 100000
(9+1)(1+0) 32000 14 6 0.022141 22141 100000
(9+1)(1+0) 32000 14 7 0.022815 22815 100000
(9+1)(1+0) 32000 14 8 0.023838 23838 100000
(9+1)(1+0) 32000 14 9 0.024272 24272 100000
(9+1)(1+0) 32000 14 10 0.024787 24787 100000
(9+1)(1+0) 32000 14 11 0.024726 24726 100000
(9+1)(1+0) 32000 14 12 0.025494 25494 100000
(9+1)(1+0) 32000 14 13 0.025559 25559 100000
(9+1)(1+0) 32000 14 14 0.026083 26083 100000
(9+1)(1+0) 32000 15 1 0 0 100000
(9+1)(1+0) 32000 15 2 0.014786 14786 100000
(9+1)(1+0) 32000 15 3 0.019711 19711 100000
(9+1)(1+0) 32000 15 4 0.022667 22667 100000
(9+1)(1+0) 32000 15 5 0.024335 24335 100000
(9+1)(1+0) 32000 15 6 0.025402 25402 100000
(9+1)(1+0) 32000 15 7 0.026284 26284 100000
(9+1)(1+0) 32000 15 8 0.027057 27057 100000
(9+1)(1+0) 32000 15 9 0.02786 27860 100000
(9+1)(1+0) 32000 15 10 0.028375 28375 100000
(9+1)(1+0) 32000 15 11 0.028551 28551 100000
(9+1)(1+0) 32000 15 12 0.029253 29253 100000
(9+1)(1+0) 32000 15 13 0.029491 29491 100000
(9+1)(1+0) 32000 15 14 0.029785 29785 100000
(9+1)(1+0) 32000 15 15 0.029995 29995 100000
(9+1)(1+0) 32000 16 1 0 0 100000
(9+1)(1+0) 32000 16 2 0.016723 16723 100000
(9+1)(1+0) 32000 16 3 0.022655 22655 100000
(9+1)(1+0) 32000 16 4 0.025702 25702 100000
(9+1)(1+0) 32000 16 5 0.027313 27313 100000
(9+1)(1+0) 32000 16 6 0.028713 28713 100000
(9+1)(1+0) 32000 16 7 0.029612 29612 100000
(9+1)(1+0) 32000 16 8 0.031031 31031 100000
(9+1)(1+0) 32000 16 9 0.031185 31185 100000
(9+1)(1+0) 32000 16 10 0.031737 31737 100000
(9+1)(1+0) 32000 16 11 0.032435 32435 100000
(9+1)(1+0) 32000 16 12 0.032921 32921 100000
(9+1)(1+0) 32000 16 13 0.033138 33138 100000
(9+1)(1+0) 32000 16 14 0.033462 33462 100000
(9+1)(1+0) 32000 16 15 0.033833 33833 100000
(9+1)(1+0) 32000 16 16 0.033974 33974 100000
(9+1)(1+0) 32000 17 1 0 0 100000
(9+1)(1+0) 32000 17 2 0.018635 18635 100000
(9+1)(1+0) 32000 17 3 0.025784 25784 100000
(9+1)(1+0) 32000 17 4 0.028946 28946 100000
(9+1)(1+0) 32000 17 5 0.031078 31078 100000
(9+1)(1+0) 32000 17 6 0.032526 32526 100000
(9+1)(1+0) 32000 17 7 0.033779 33779 100000
(9+1)(1+0) 32000 17 8 0.034615 34615 100000
(9+1)(1+0) 32000 17 9 0.035529 35529 100000
(9+1)(1+0) 32000 17 10 0.035977 35977 100000
(9+1)(1+0) 32000 17 11 0.036582 36582 100000
(9+1)(1+0) 32000 17 12 0.036847 36847 100000
(9+1)(1+0) 32000 17 13 0.037721 37721 100000
(9+1)(1+0) 32000 17 14 0.03741 37410 100000
(9+1)(1+0) 32000 17 15 0.03801 38010 100000
(9+1)(1+0) 32000 17 16 0.037861 37861 100000
(9+1)(1+0) 32000 17 17 0.038622 38622 100000
(9+1)(1+0) 32000 18 1 0 0 100000
(9+1)(1+0) 32000 18 2 0.021259 21259 100000
(9+1)(1+0) 32000 18 3 0.028493 28493 100000
(9+1)(1+0) 32000 18 4 0.032521 32521 100000
(9+1)(1+0) 32000 18 5 0.034756 34756 100000
(9+1)(1+0) 32000 18 6 0.035923 35923 100000
(9+1)(1+0) 32000 18 7 0.037957 37957 100000
(9+1)(1+0) 32000 18 8 0.038684 38684 100000
(9+1)(1+0) 32000 18 9 0.039702 39702 100000
(9+1)(1+0) 32000 18 10 0.039712 39712 100000
(9+1)(1+0) 32000 18 11 0.041236 41236 100000
(9+1)(1+0) 32000 18 12 0.040835 40835 100000
(9+1)(1+0) 32000 18 13 0.041751 41751 100000
(9+1)(1+0) 32000 18 14 0.042271 42271 100000
(9+1)(1+0) 32000 18 15 0.042393 42393 100000
(9+1)(1+0) 32000 18 16 0.042745 42745 100000
(9+1)(1+0) 32000 18 17 0.043289 43289 100000
(9+1)(1+0) 32000 18 18 0.043172 43172 100000
(9+1)(1+0) 32000 19 1 0 0 100000
(9+1)(1+0) 32000 19 2 0.023289 23289 100000
(9+1)(1+0) 32000 19 3 0.032283 32283 100000
(9+1)(1+0) 32000 19 4 0.036164 36164 100000
(9+1)(1+0) 32000 19 5 0.038489 38489 100000
(9+1)(1+0) 32000 19 6 0.040519 40519 100000
(9+1)(1+0) 32000 19 7 0.042056 42056 100000
(9+1)(1+0) 32000 19 8 0.043204 43204 100000
(9+1)(1+0) 32000 19 9 0.043918 43918 100000
(9+1)(1+0) 32000 19 10 0.044197 44197 100000
(9+1)(1+0) 32000 19 11 0.045082 45082 100000
(9+1)(1+0) 32000 19 12 0.046022 46022 100000
(9+1)(1+0) 32000 19 13 0.046112 46112 100000
(9+1)(1+0) 32000 19 14 0.046381 46381 100000
(9+1)(1+0) 32000 19 15 0.046859 46859 100000
(9+1)(1+0) 32000 19 16 0.047248 47248 100000
(9+1)(1+0) 32000 19 17 0.047258 47258 100000
(9+1)(1+0) 32000 19 18 0.04788 47880 100000
(9+1)(1+0) 32000 19 19 0.047668 47668 100000
(9+1)(1+0) 32000 20 1 0 0 100000
(9+1)(1+0) 32000 20 2 0.026095 26095 100000
(9+1)(1+0) 32000 20 3 0.035213 35213 100000
(9+1)(1+0) 32000 20 4 0.040269 40269 100000
(9+1)(1+0) 32000 20 5 0.042752 42752 100000
(9+1)(1+0) 32000 20 6 0.045043 45043 100000
(9+1)(1+0) 32000 20 7 0.046021 46021 100000
(9+1)(1+0) 32000 20 8 0.047433 47433 100000
(9+1)(1+0) 32000 20 9 0.048384 48384 100000
(9+1)(1+0) 32000 20 10 0.049143 49143 100000
(9+1)(1+0) 32000 20 11 0.049898 49898 100000
(9+1)(1+0) 32000 20 12 0.050305 50305 100000
(9+1)(1+0) 32000 20 13 0.051244 51244 100000
(9+1)(1+0) 32000 20 14 0.05114 51140 100000
(9+1)(1+0) 32000 20 15 0.052249 52249 100000
(9+1)(1+0) 32000 20 16 0.052369 52369 100000
(9+1)(1+0) 32000 20 17 0.052485 52485 100000
(9+1)(1+0) 32000 20 18 0.053123 53123 100000
(9+1)(1+0) 32000 20 19 0.053301 53301 100000
(9+1)(1+0) 32000 20 20 0.053706 53706 100000
