config total_drives failed_disks affected_racks dl_prob failed_iters total_iters
(9+1)(1+0) 32000 1 1 0 0 100000
(9+1)(1+0) 32000 2 1 0 0 100000
(9+1)(1+0) 32000 2 2 0.0003 300 100000
(9+1)(1+0) 32000 3 1 0 0 100000
(9+1)(1+0) 32000 3 2 0.000567 567 100000
(9+1)(1+0) 32000 3 3 0.000819 819 100000
(9+1)(1+0) 32000 4 1 0 0 100000
(9+1)(1+0) 32000 4 2 0.000977 977 100000
(9+1)(1+0) 32000 4 3 0.001425 1425 100000
(9+1)(1+0) 32000 4 4 0.001808 1808 100000
(9+1)(1+0) 32000 5 1 0 0 100000
(9+1)(1+0) 32000 5 2 0.001566 1566 100000
(9+1)(1+0) 32000 5 3 0.0022 2200 100000
(9+1)(1+0) 32000 5 4 0.002588 2588 100000
(9+1)(1+0) 32000 5 5 0.002972 2972 100000
(9+1)(1+0) 32000 6 1 0 0 100000
(9+1)(1+0) 32000 6 2 0.002313 2313 100000
(9+1)(1+0) 32000 6 3 0.00319 3190 100000
(9+1)(1+0) 32000 6 4 0.003723 3723 100000
(9+1)(1+0) 32000 6 5 0.004061 4061 100000
(9+1)(1+0) 32000 6 6 0.004318 4318 100000
(9+1)(1+0) 32000 7 1 0 0 100000
(9+1)(1+0) 32000 7 2 0.002976 2976 100000
(9+1)(1+0) 32000 7 3 0.004377 4377 100000
(9+1)(1+0) 32000 7 4 0.00496 4960 100000
(9+1)(1+0) 32000 7 5 0.005363 5363 100000
(9+1)(1+0) 32000 7 6 0.00603 6030 100000
(9+1)(1+0) 32000 7 7 0.00617 6170 100000
(9+1)(1+0) 32000 8 1 0 0 100000
(9+1)(1+0) 32000 8 2 0.004109 4109 100000
(9+1)(1+0) 32000 8 3 0.005559 5559 100000
(9+1)(1+0) 32000 8 4 0.006397 6397 100000
(9+1)(1+0) 32000 8 5 0.007012 7012 100000
(9+1)(1+0) 32000 8 6 0.007562 7562 100000
(9+1)(1+0) 32000 8 7 0.007657 7657 100000
(9+1)(1+0) 32000 8 8 0.007927 7927 100000
(9+1)(1+0) 32000 9 1 0 0 100000
(9+1)(1+0) 32000 9 2 0.00514 5140 100000
(9+1)(1+0) 32000 9 3 0.006976 6976 100000
(9+1)(1+0) 32000 9 4 0.00811 8110 100000
(9+1)(1+0) 32000 9 5 0.008746 8746 100000
(9+1)(1+0) 32000 9 6 0.009195 9195 100000
(9+1)(1+0) 32000 9 7 0.00977 9770 100000
(9+1)(1+0) 32000 9 8 0.010002 10002 100000
(9+1)(1+0) 32000 9 9 0.010368 10368 100000
(9+1)(1+0) 32000 10 1 0 0 100000
(9+1)(1+0) 32000 10 2 0.006422 6422 100000
(9+1)(1+0) 32000 10 3 0.00858 8580 100000
(9+1)(1+0) 32000 10 4 0.009954 9954 100000
(9+1)(1+0) 32000 10 5 0.010847 10847 100000
(9+1)(1+0) 32000 10 6 0.011471 11471 100000
(9+1)(1+0) 32000 10 7 0.011753 11753 100000
(9+1)(1+0) 32000 10 8 0.012224 12224 100000
(9+1)(1+0) 32000 10 9 0.012518 12518 100000
(9+1)(1+0) 32000 10 10 0.012842 12842 100000
(9+1)(1+0) 32000 11 1 0 0 100000
(9+1)(1+0) 32000 11 2 0.0078 7800 100000
(9+1)(1+0) 32000 11 3 0.01046 10460 100000
(9+1)(1+0) 32000 11 4 0.012245 12245 100000
(9+1)(1+0) 32000 11 5 0.013249 13249 100000
(9+1)(1+0) 32000 11 6 0.013698 13698 100000
(9+1)(1+0) 32000 11 7 0.014245 14245 100000
(9+1)(1+0) 32000 11 8 0.014704 14704 100000
(9+1)(1+0) 32000 11 9 0.015341 15341 100000
(9+1)(1+0) 32000 11 10 0.015602 15602 100000
(9+1)(1+0) 32000 11 11 0.015882 15882 100000
(9+1)(1+0) 32000 12 1 0 0 100000
(9+1)(1+0) 32000 12 2 0.009347 9347 100000
(9+1)(1+0) 32000 12 3 0.012393 12393 100000
(9+1)(1+0) 32000 12 4 0.014687 14687 100000
(9+1)(1+0) 32000 12 5 0.015616 15616 100000
(9+1)(1+0) 32000 12 6 0.016408 16408 100000
(9+1)(1+0) 32000 12 7 0.016828 16828 100000
(9+1)(1+0) 32000 12 8 0.017471 17471 100000
(9+1)(1+0) 32000 12 9 0.017964 17964 100000
(9+1)(1+0) 32000 12 10 0.018458 18458 100000
(9+1)(1+0) 32000 12 11 0.018457 18457 100000
(9+1)(1+0) 32000 12 12 0.018936 18936 100000
(9+1)(1+0) 32000 13 1 0 0 100000
(9+1)(1+0) 32000 13 2 0.010928 10928 100000
(9+1)(1+0) 32000 13 3 0.014737 14737 100000
(9+1)(1+0) 32000 13 4 0.016705 16705 100000
(9+1)(1+0) 32000 13 5 0.018329 18329 100000
(9+1)(1+0) 32000 13 6 0.018915 18915 100000
(9+1)(1+0) 32000 13 7 0.019938 19938 100000
(9+1)(1+0) 32000 13 8 0.020461 20461 100000
