config total_drives failed_disks affected_racks dl_prob
(8+2)(8+2) 32000 16 13 0.0
(8+2)(8+2) 32000 16 14 0.0
(8+2)(8+2) 32000 16 15 0.0
(8+2)(8+2) 32000 16 16 0.0
(8+2)(8+2) 32000 17 1 0.0
(8+2)(8+2) 32000 17 2 0.0
(8+2)(8+2) 32000 17 3 2.612022544035142e-06
(8+2)(8+2) 32000 17 4 8.974520113724793e-07
(8+2)(8+2) 32000 17 5 2.8632626103419767e-07
(8+2)(8+2) 32000 17 6 8.966419151601457e-08
(8+2)(8+2) 32000 17 7 2.6931714303124465e-08
(8+2)(8+2) 32000 17 8 7.443268668083647e-09
(8+2)(8+2) 32000 17 9 1.7778978289584302e-09
(8+2)(8+2) 32000 17 10 3.2819025275188096e-10
(8+2)(8+2) 32000 17 11 3.549316396345148e-11
(8+2)(8+2) 32000 17 12 0.0
(8+2)(8+2) 32000 17 13 0.0
(8+2)(8+2) 32000 17 14 0.0
(8+2)(8+2) 32000 17 15 0.0
(8+2)(8+2) 32000 17 16 0.0
(8+2)(8+2) 32000 17 17 0.0
(8+2)(8+2) 32000 18 1 0.0
(8+2)(8+2) 32000 18 2 0.0
(8+2)(8+2) 32000 18 3 4.749994031327809e-06
(8+2)(8+2) 32000 18 4 1.7002365414464649e-06
(8+2)(8+2) 32000 18 5 5.714196921191572e-07
(8+2)(8+2) 32000 18 6 1.9163265441157762e-07
(8+2)(8+2) 32000 18 7 6.305468625011912e-08
(8+2)(8+2) 32000 18 8 1.9742678047940387e-08
(8+2)(8+2) 32000 18 9 5.6458869801545575e-09
(8+2)(8+2) 32000 18 10 1.387173709233025e-09
(8+2)(8+2) 32000 18 11 2.6218383020193414e-10
(8+2)(8+2) 32000 18 12 2.8928193174238004e-11
(8+2)(8+2) 32000 18 13 0.0
(8+2)(8+2) 32000 18 14 0.0
(8+2)(8+2) 32000 18 15 0.0
(8+2)(8+2) 32000 18 16 0.0
(8+2)(8+2) 32000 18 17 0.0
(8+2)(8+2) 32000 18 18 0.0
(8+2)(8+2) 32000 19 1 0.0
(8+2)(8+2) 32000 19 2 0.0
(8+2)(8+2) 32000 19 3 8.210467553282363e-06
(8+2)(8+2) 32000 19 4 3.0458303204028425e-06
(8+2)(8+2) 32000 19 5 1.0682582133325624e-06
(8+2)(8+2) 32000 19 6 3.783197810580674e-07
(8+2)(8+2) 32000 19 7 1.3355941963499873e-07
(8+2)(8+2) 32000 19 8 4.587115454146584e-08
(8+2)(8+2) 32000 19 9 1.4875173648398743e-08
(8+2)(8+2) 32000 19 10 4.378631679458067e-09
(8+2)(8+2) 32000 19 11 1.1020742096690128e-09
(8+2)(8+2) 32000 19 12 2.125916109818604e-10
(8+2)(8+2) 32000 19 13 2.387001707404579e-11
(8+2)(8+2) 32000 19 14 0.0
(8+2)(8+2) 32000 19 15 0.0
