config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 75 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 76 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 77 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 78 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 79 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 80 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 81 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 82 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 83 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 84 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 85 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 86 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 87 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 88 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 89 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 90 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 91 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 92 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 93 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 94 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 95 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 96 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 97 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 98 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 99 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 100 1 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 1 2 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 2 2 0.0 0 0 0 100000 notadapt
(1+0)(8+2) 32000 3 2 0.0 0 0 0 10000.0 notadapt
(1+0)(8+2) 32000 4 2 0.0048 2.319 0.063 48 10000.0 notadapt
(1+0)(8+2) 32000 5 2 0.0136 1.866 0.037 136 10000.0 notadapt
(1+0)(8+2) 32000 6 2 0.0321 1.493 0.024 321 10000.0 notadapt
(1+0)(8+2) 32000 7 2 0.0529 1.277 0.019 529 10000.0 notadapt
(1+0)(8+2) 32000 8 2 0.0855 1.068 0.015 855 10000.0 notadapt
(1+0)(8+2) 32000 9 2 0.1265 0.898 0.012 1265 10000.0 notadapt
(1+0)(8+2) 32000 10 2 0.167 0.777 0.011 1670 10000.0 notadapt
(1+0)(8+2) 32000 11 2 0.229 0.64 0.009 2290 10000.0 notadapt
(1+0)(8+2) 32000 12 2 0.2886 0.54 0.008 2886 10000.0 notadapt
(1+0)(8+2) 32000 13 2 0.3605 0.443 0.007 3605 10000.0 notadapt
(1+0)(8+2) 32000 14 2 0.4226 0.374 0.007 4226 10000.0 notadapt
(1+0)(8+2) 32000 15 2 0.5028 0.299 0.006 5028 10000.0 notadapt
(1+0)(8+2) 32000 16 2 0.5779 0.238 0.006 5779 10000.0 notadapt
(1+0)(8+2) 32000 17 2 0.644 0.191 0.005 6440 10000.0 notadapt
(1+0)(8+2) 32000 18 2 0.7065 0.151 0.005 7065 10000.0 notadapt
(1+0)(8+2) 32000 19 2 0.7751 0.111 0.005 7751 10000.0 notadapt
(1+0)(8+2) 32000 20 2 0.8144 0.089 0.005 8144 10000.0 notadapt
(1+0)(8+2) 32000 21 2 0.8616 0.065 0.005 8616 10000.0 notadapt
(1+0)(8+2) 32000 22 2 0.9051 0.043 0.005 9051 10000.0 notadapt
(1+0)(8+2) 32000 23 2 0.9305 0.031 0.005 9305 10000.0 notadapt
(1+0)(8+2) 32000 24 2 0.9553 0.02 0.004 9553 10000.0 notadapt
(1+0)(8+2) 32000 25 2 0.9688 0.014 0.004 9688 10000.0 notadapt
(1+0)(8+2) 32000 26 2 0.9813 0.008 0.004 9813 10000.0 notadapt
(1+0)(8+2) 32000 27 2 0.9879 0.005 0.004 9879 10000.0 notadapt
(1+0)(8+2) 32000 28 2 0.9922 0.003 0.004 9922 10000.0 notadapt
(1+0)(8+2) 32000 29 2 0.9968 0.001 0.004 9968 10000.0 notadapt
(1+0)(8+2) 32000 30 2 0.9986 0.001 0.004 9986 10000.0 notadapt
(1+0)(8+2) 32000 31 2 0.9992 0.0 0.004 9992 10000.0 notadapt
(1+0)(8+2) 32000 32 2 0.9999 0.0 0.004 9999 10000.0 notadapt
(1+0)(8+2) 32000 33 2 0.9997 0.0 0.004 9997 10000.0 notadapt
(1+0)(8+2) 32000 34 2 0.9998 0.0 0.004 9998 10000.0 notadapt
(1+0)(8+2) 32000 35 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 36 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 37 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 38 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 39 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 40 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 41 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 42 2 1.0 -0.0 0.004 10000 10000.0 notadapt
(1+0)(8+2) 32000 43 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 44 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 45 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 46 2 1.0 -0.0 0.001 100000 100000 notadapt
(1+0)(8+2) 32000 47 2 1.0 -0.0 0.001 100000 100000 notadapt
