model,failure_time,failure,app,r_5,n_5,r_183,n_183,r_184,n_184,r_187,n_187,r_195,n_195,r_197,n_197,r_199,n_199,r_program,n_program,r_erase,n_erase,n_blocks,n_wearout,r_241,n_241,r_242,n_242,r_9,n_9,r_12,n_12,r_174,n_174,n_175,disk_id,node_id,rack_id,machine_room_id,diff,burst_glob_id
A1,2019-05-11 04:21:40,1,WS,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,70.0,14060253.0,100.0,8667254.0,100.0,44084.0,100.0,12.0,100.0,10.0,100.0,100.0,184844,156179,3147,321,1.0,10985
A1,2019-12-16 17:48:05,1,none,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,10.0,100.0,0.0,100.0,0.0,100.0,100.0,94.0,2051662.0,100.0,105956.0,100.0,37254.0,100.0,21.0,100.0,19.0,100.0,100.0,184975,156269,16125,78,-1.0,10992
A1,2019-12-16 17:48:07,1,none,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,58.0,13857661.0,100.0,17502425.0,100.0,37270.0,100.0,21.0,100.0,19.0,100.0,100.0,184974,156269,16125,78,2.0,10992
A5,2019-09-29 10:18:07,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,52.0,22918064.0,100.0,18048549.0,100.0,25657.0,100.0,22.0,100.0,19.0,100.0,100.0,20777,156394,3413,77,-1.0,11013
A5,2019-09-29 10:18:07,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,54.0,21765987.0,100.0,17407513.0,100.0,25657.0,100.0,22.0,100.0,19.0,100.0,100.0,20775,156394,3413,77,0.0,11013
A5,2019-09-29 10:18:38,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,86.0,3798610.0,100.0,3741168.0,100.0,25658.0,100.0,22.0,100.0,19.0,100.0,100.0,20774,156394,3413,77,31.000000000000004,11013
A4,2019-09-21 23:02:04,1,RM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,99.0,285737.0,100.0,36356.0,100.0,7622.0,100.0,4.0,100.0,2.0,100.0,100.0,25975,156636,24781,413,-1.0,11031
B2,2019-09-21 23:04:06,1,RM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,98.0,775334570220.0,99.0,24341531559.0,99.0,25380.0,94.0,50.0,99.0,,,,32255,156636,24781,413,122.00000000000001,11031
A3,2018-08-11 03:24:59,1,none,0.0,98.0,,,0.0,100.0,0.0,100.0,806309833.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,130.0,17.0,,,,,37109.0,100.0,61.0,100.0,59.0,100.0,100.0,28452,156719,22731,145,8553598.0,11040
A3,2018-08-11 03:25:05,1,none,0.0,98.0,,,0.0,100.0,0.0,100.0,801807023.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,130.0,11.0,,,,,37111.0,100.0,61.0,100.0,59.0,100.0,100.0,28448,156719,22731,145,6.0,11040
A3,2018-08-11 03:25:12,1,none,0.0,98.0,,,0.0,100.0,0.0,100.0,1126082736.0,100.0,0.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,130.0,5.0,,,,,37114.0,100.0,61.0,100.0,59.0,100.0,100.0,28453,156719,22731,145,7.0,11040
A3,2018-08-11 03:10:42,1,none,4.0,94.0,,,0.0,100.0,0.0,100.0,1215853307.0,100.0,0.0,100.0,0.0,100.0,11.0,100.0,0.0,100.0,130.0,1.0,,,,,42706.0,100.0,54.0,100.0,51.0,100.0,100.0,28460,156736,25785,598,18576583.0,11042
A3,2018-08-11 03:10:47,1,none,4.0,93.0,,,0.0,100.0,0.0,100.0,1343924394.0,100.0,0.0,100.0,0.0,100.0,2.0,100.0,0.0,100.0,130.0,1.0,,,,,42711.0,100.0,54.0,100.0,51.0,100.0,100.0,28464,156736,25785,598,5.0,11042
A3,2018-08-11 03:10:50,1,none,6.0,93.0,,,0.0,100.0,0.0,100.0,1086989841.0,100.0,0.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,130.0,1.0,,,,,42712.0,100.0,54.0,100.0,51.0,100.0,100.0,28467,156736,25785,598,3.0,11042
A3,2018-08-11 03:10:52,1,none,8.0,95.0,,,0.0,100.0,0.0,100.0,1786252276.0,100.0,0.0,100.0,0.0,100.0,9.0,100.0,0.0,100.0,130.0,1.0,,,,,42716.0,100.0,54.0,100.0,51.0,100.0,100.0,28471,156736,25785,598,2.0,11042
A3,2018-08-11 03:10:54,1,none,0.0,93.0,,,0.0,100.0,0.0,100.0,1667325153.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,130.0,1.0,,,,,42715.0,100.0,54.0,100.0,51.0,100.0,100.0,28465,156736,25785,598,2.0,11042
C1,2019-01-23 09:16:35,1,WSM,4340.0,64.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,68.0,96.0,,,,,15236.0,100.0,14.0,100.0,8.0,100.0,,131999,156863,20625,225,-1.0,11058
C1,2019-01-23 09:16:38,1,WSM,33.0,100.0,0.0,100.0,0.0,100.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,97.0,,,,,15236.0,100.0,14.0,100.0,8.0,100.0,,131993,156863,20625,225,3.0,11058
A1,2018-07-12 01:11:41,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,90.0,4547511.0,100.0,3600474.0,100.0,34003.0,100.0,8.0,100.0,6.0,100.0,100.0,185587,156922,7698,229,-1.0,11067
A1,2018-07-12 01:15:21,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,95.0,1388736.0,100.0,105759.0,100.0,33984.0,100.0,9.0,100.0,7.0,100.0,100.0,185586,156922,7698,229,220.0,11067
A1,2018-07-12 01:15:28,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,90.0,4808985.0,100.0,3806766.0,100.0,34004.0,100.0,8.0,100.0,6.0,100.0,100.0,185585,156922,7698,229,7.0,11067
B3,2018-05-24 21:32:33,1,WSM,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,1.0,99.0,0.0,100.0,99.0,98.0,202123036283.0,99.0,130463902049.0,99.0,7775.0,98.0,18.0,99.0,,,,29179,156923,16862,63,-1.0,11068
B3,2018-05-24 21:32:38,1,WSM,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,98.0,195613195624.0,99.0,102571786942.0,99.0,7775.0,98.0,18.0,99.0,,,,29169,156923,16862,63,5.0,11068
A3,2018-08-25 03:24:49,1,RM,0.0,93.0,,,0.0,100.0,0.0,100.0,1249407714.0,100.0,0.0,100.0,7.0,100.0,0.0,100.0,0.0,100.0,130.0,1.0,,,,,43265.0,100.0,38.0,100.0,35.0,100.0,100.0,28534,157014,20817,669,86393.0,11071
A3,2018-08-25 03:25:23,1,RM,0.0,94.0,,,0.0,100.0,0.0,100.0,27214601.0,100.0,0.0,100.0,3.0,100.0,0.0,100.0,0.0,100.0,130.0,1.0,,,,,43265.0,100.0,38.0,100.0,35.0,100.0,100.0,28532,157014,20817,669,34.0,11071
C1,2019-08-21 09:19:44,1,none,0.0,100.0,0.0,100.0,1.0,99.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,74.0,,,,,20171.0,100.0,18.0,100.0,14.0,100.0,,132241,157179,27487,344,-1.0,11075
C1,2019-08-21 09:20:29,1,none,0.0,100.0,0.0,100.0,1.0,99.0,23.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,74.0,,,,,20171.0,100.0,18.0,100.0,14.0,100.0,,132240,157179,27487,344,45.0,11075
B3,2019-03-25 09:04:30,1,none,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,13926209280.0,99.0,8810290784.0,99.0,16274.0,96.0,18.0,99.0,,,,29280,157264,10158,550,-1.0,11082
B3,2019-03-25 09:06:14,1,none,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,99.0,13846832672.0,99.0,9514540147.0,99.0,16274.0,96.0,18.0,99.0,,,,29290,157264,10158,550,104.0,11082
B3,2018-07-17 08:21:23,1,none,2.0,99.0,2.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,92.0,1128561883107.0,99.0,2173395953955.0,99.0,10693.0,97.0,6.0,99.0,,,,29300,157292,28342,393,-1.0,11083
B3,2018-07-17 08:22:23,1,none,26.0,99.0,26.0,99.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,92.0,1128611577619.0,99.0,2173485681429.0,99.0,10693.0,97.0,6.0,99.0,,,,29306,157292,28342,393,60.00000000000001,11083
A1,2019-09-18 19:48:25,1,WSM,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,2.0,100.0,0.0,100.0,99.0,79.0,4283429.0,100.0,2644963.0,100.0,38096.0,100.0,20.0,100.0,18.0,100.0,100.0,186148,157317,22854,35,-1.0,11089
A1,2019-09-18 19:48:25,1,WSM,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,78.0,10508829.0,100.0,8124836.0,100.0,38097.0,100.0,20.0,100.0,18.0,100.0,100.0,186150,157317,22854,35,0.0,11089
A1,2019-09-18 19:48:25,1,WSM,1.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,99.0,75.0,11631705.0,100.0,8470642.0,100.0,38098.0,100.0,20.0,100.0,18.0,100.0,100.0,186149,157317,22854,35,0.0,11089
