group_size,count,percent (%)
2,348,3.7852830804372655
3,171,2.7900146842878124
4,64,1.3922880295861206
5,38,1.0333387719584488
6,17,0.5547397617882199
7,20,0.7614075161799098
8,8,0.34807200739653016
9,14,0.6852667645619187
10,5,0.27193125577853916
11,9,0.5384238864415075
12,11,0.7178985152553435
