racks,drives,count
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,1
10,20,13
11,20,167
12,20,988
13,20,4146
14,20,11515
15,20,21556
16,20,26663
17,20,21424
18,20,10413
19,20,2811
20,20,303
