config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+6)(16+1) 32000 1000000 14 13 9.72450106390328273863744912318598582425E-12
(32+6)(16+1) 32000 1000000 14 14 1.403463227175134239154296767827777390492E-11
(32+6)(16+1) 32000 1000000 15 1 0E-49
(32+6)(16+1) 32000 1000000 15 2 0E-49
(32+6)(16+1) 32000 1000000 15 3 0E-49
(32+6)(16+1) 32000 1000000 15 4 0E-49
(32+6)(16+1) 32000 1000000 15 5 0E-49
(32+6)(16+1) 32000 1000000 15 6 0E-49
(32+6)(16+1) 32000 1000000 15 7 0E-49
(32+6)(16+1) 32000 1000000 15 8 2.9327820120525943469974061190180415743E-13
(32+6)(16+1) 32000 1000000 15 9 1.20992196766721297296004219561643553807E-12
(32+6)(16+1) 32000 1000000 15 10 3.01792930908420093609902795486217520616E-12
(32+6)(16+1) 32000 1000000 15 11 5.90738469419280944861381613670199515010E-12
(32+6)(16+1) 32000 1000000 15 12 1.000106604249456353891919115044431784414E-11
(32+6)(16+1) 32000 1000000 15 13 1.537005346267926873319757473704698996220E-11
(32+6)(16+1) 32000 1000000 15 14 2.204774333311861726953438247549229233866E-11
(32+6)(16+1) 32000 1000000 15 15 3.004085547263860855868016064156182357833E-11
(32+6)(16+1) 32000 1000000 16 1 0E-49
(32+6)(16+1) 32000 1000000 16 2 0E-49
(32+6)(16+1) 32000 1000000 16 3 0E-49
(32+6)(16+1) 32000 1000000 16 4 0E-49
(32+6)(16+1) 32000 1000000 16 5 0E-49
(32+6)(16+1) 32000 1000000 16 6 0E-49
(32+6)(16+1) 32000 1000000 16 7 0E-49
(32+6)(16+1) 32000 1000000 16 8 4.7469098360168709485097162629671943501E-13
(32+6)(16+1) 32000 1000000 16 9 1.93579169046226687062658773103861046303E-12
(32+6)(16+1) 32000 1000000 16 10 4.78154280160350696192957828053018702824E-12
(32+6)(16+1) 32000 1000000 16 11 9.28134094046497299124668842507228907384E-12
(32+6)(16+1) 32000 1000000 16 12 1.559860589901277438934295339353644198367E-11
(32+6)(16+1) 32000 1000000 16 13 2.381837729679498969471087435925753817248E-11
(32+6)(16+1) 32000 1000000 16 14 3.397049834298655124231988900755934727951E-11
(32+6)(16+1) 32000 1000000 16 15 4.604707867326967554497738511936831157360E-11
(32+6)(16+1) 32000 1000000 16 16 6.001507278839278911183125743699075497938E-11
(32+6)(16+1) 32000 1000000 17 1 0E-49
(32+6)(16+1) 32000 1000000 17 2 0E-49
(32+6)(16+1) 32000 1000000 17 3 0E-49
(32+6)(16+1) 32000 1000000 17 4 0E-49
(32+6)(16+1) 32000 1000000 17 5 0E-49
(32+6)(16+1) 32000 1000000 17 6 0E-49
(32+6)(16+1) 32000 1000000 17 7 0E-49
(32+6)(16+1) 32000 1000000 17 8 7.5262577671769638045134860118015911632E-13
(32+6)(16+1) 32000 1000000 17 9 3.03592566989265261472761820255081705659E-12
(32+6)(16+1) 32000 1000000 17 10 7.43020500628390984934089020708318863733E-12
(32+6)(16+1) 32000 1000000 17 11 1.430885341046149289710381726998491811452E-11
(32+6)(16+1) 32000 1000000 17 12 2.388253080945186438638630162320154834827E-11
(32+6)(16+1) 32000 1000000 17 13 3.624585186675175641383265677997280632934E-11
(32+6)(16+1) 32000 1000000 17 14 5.141450061684278759369503574743743862817E-11
(32+6)(16+1) 32000 1000000 17 15 6.935215512989962291358939562964297257746E-11
(32+6)(16+1) 32000 1000000 17 16 8.998929010324851596238637329134918806334E-11
(32+6)(16+1) 32000 1000000 17 17 1.1323607343554021662703247037124522159862E-10
(32+6)(16+1) 32000 1000000 18 1 0E-49
(32+6)(16+1) 32000 1000000 18 2 0E-49
(32+6)(16+1) 32000 1000000 18 3 0E-49
(32+6)(16+1) 32000 1000000 18 4 0E-49
(32+6)(16+1) 32000 1000000 18 5 0E-49
(32+6)(16+1) 32000 1000000 18 6 0E-49
(32+6)(16+1) 32000 1000000 18 7 0E-49
(32+6)(16+1) 32000 1000000 18 8 1.17068258361886545562335080853299977882E-12
(32+6)(16+1) 32000 1000000 18 9 4.67408064125471827441127450848304216904E-12
(32+6)(16+1) 32000 1000000 18 10 1.134060120587936791826211594472525477287E-11
(32+6)(16+1) 32000 1000000 18 11 2.167679095564929292622512235261039401888E-11
(32+6)(16+1) 32000 1000000 18 12 3.594488429147496166234185624510052906103E-11
(32+6)(16+1) 32000 1000000 18 13 5.423898405229039254143088103096783551202E-11
(32+6)(16+1) 32000 1000000 18 14 7.654281905622993569432676709094545998337E-11
(32+6)(16+1) 32000 1000000 18 15 1.0277022174776919352367748944918042661210E-10
(32+6)(16+1) 32000 1000000 18 16 1.3279256784003296089185899381267616484738E-10
(32+6)(16+1) 32000 1000000 18 17 1.6645707407985516923572061885660731983463E-10
(32+6)(16+1) 32000 1000000 18 18 2.0359887103422059870473757965297193793998E-10
(32+6)(16+1) 32000 1000000 19 1 0E-49
(32+6)(16+1) 32000 1000000 19 2 0E-49
(32+6)(16+1) 32000 1000000 19 3 0E-49
(32+6)(16+1) 32000 1000000 19 4 0E-49
(32+6)(16+1) 32000 1000000 19 5 0E-49
(32+6)(16+1) 32000 1000000 19 6 0E-49
(32+6)(16+1) 32000 1000000 19 7 0E-49
(32+6)(16+1) 32000 1000000 19 8 1.78884945668071753091376613782599412259E-12
(32+6)(16+1) 32000 1000000 19 9 7.07364580831025054881271097573150397392E-12
(32+6)(16+1) 32000 1000000 19 10 1.702282384795890793793833290301977049964E-11
(32+6)(16+1) 32000 1000000 19 11 3.230935747331029032288027105724372039344E-11
(32+6)(16+1) 32000 1000000 19 12 5.324681186473760304855623310669507338618E-11
(32+6)(16+1) 32000 1000000 19 13 7.990994589231047569587538065927708798443E-11
(32+6)(16+1) 32000 1000000 19 14 1.1222239160516574202263718711100904503365E-10
(32+6)(16+1) 32000 1000000 19 15 1.5001614800820572086255452731020677540205E-10
(32+6)(16+1) 32000 1000000 19 16 1.9307076016154584704359583166159967464965E-10
(32+6)(16+1) 32000 1000000 19 17 2.4113871005364127967829435511435733777022E-10
(32+6)(16+1) 32000 1000000 19 18 2.9396166862473554560186478407780196296466E-10
(32+6)(16+1) 32000 1000000 19 19 3.5128074646163230993530172782675649880423E-10
(32+6)(16+1) 32000 1000000 20 1 0E-49
(32+6)(16+1) 32000 1000000 20 2 0E-49
(32+6)(16+1) 32000 1000000 20 3 0E-49
(32+6)(16+1) 32000 1000000 20 4 0E-49
(32+6)(16+1) 32000 1000000 20 5 0E-49
(32+6)(16+1) 32000 1000000 20 6 0E-49
(32+6)(16+1) 32000 1000000 20 7 0E-49
(32+6)(16+1) 32000 1000000 20 8 2.68846639215513077425822092484598170754E-12
(32+6)(16+1) 32000 1000000 20 9 1.053516897159293712555662481164403128406E-11
(32+6)(16+1) 32000 1000000 20 10 2.515853215537013923029658471757338912443E-11
(32+6)(16+1) 32000 1000000 20 11 4.743433949940070547193953187933271702238E-11
(32+6)(16+1) 32000 1000000 20 12 7.771933411351096131231750485109610475939E-11
(32+6)(16+1) 32000 1000000 20 13 1.1603723246250971471991486613366192641914E-10
(32+6)(16+1) 32000 1000000 20 14 1.6220893137537677172798964573367861659463E-10
