config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(32+4)(8+1) 32000 1000000 1 1 0E-49
(32+4)(8+1) 32000 1000000 2 1 0E-49
(32+4)(8+1) 32000 1000000 2 2 0E-49
(32+4)(8+1) 32000 1000000 3 1 0E-49
(32+4)(8+1) 32000 1000000 3 2 0E-49
(32+4)(8+1) 32000 1000000 3 3 0E-49
(32+4)(8+1) 32000 1000000 4 1 0E-49
(32+4)(8+1) 32000 1000000 4 2 0E-49
(32+4)(8+1) 32000 1000000 4 3 0E-49
(32+4)(8+1) 32000 1000000 4 4 0E-49
(32+4)(8+1) 32000 1000000 5 1 0E-49
(32+4)(8+1) 32000 1000000 5 2 0E-49
(32+4)(8+1) 32000 1000000 5 3 0E-49
(32+4)(8+1) 32000 1000000 5 4 0E-49
(32+4)(8+1) 32000 1000000 5 5 0E-49
(32+4)(8+1) 32000 1000000 6 1 0E-49
(32+4)(8+1) 32000 1000000 6 2 0E-49
(32+4)(8+1) 32000 1000000 6 3 0E-49
(32+4)(8+1) 32000 1000000 6 4 0E-49
(32+4)(8+1) 32000 1000000 6 5 0E-49
(32+4)(8+1) 32000 1000000 6 6 3.04696654809237254488156063572242384534782E-9
(32+4)(8+1) 32000 1000000 7 1 0E-49
(32+4)(8+1) 32000 1000000 7 2 0E-49
(32+4)(8+1) 32000 1000000 7 3 0E-49
(32+4)(8+1) 32000 1000000 7 4 0E-49
(32+4)(8+1) 32000 1000000 7 5 0E-49
(32+4)(8+1) 32000 1000000 7 6 6.09393308690073995617417925515318840908552E-9
(32+4)(8+1) 32000 1000000 7 7 2.130591938209872176701153670758764049392541E-8
(32+4)(8+1) 32000 1000000 8 1 0E-49
(32+4)(8+1) 32000 1000000 8 2 0E-49
(32+4)(8+1) 32000 1000000 8 3 0E-49
(32+4)(8+1) 32000 1000000 8 4 0E-49
(32+4)(8+1) 32000 1000000 8 5 0E-49
(32+4)(8+1) 32000 1000000 8 6 1.154703348720204176344055276343700812279058E-8
(32+4)(8+1) 32000 1000000 8 7 3.956487188271571179558348660983146636359640E-8
(32+4)(8+1) 32000 1000000 8 8 8.513238969841961602419384394546904064899983E-8
(32+4)(8+1) 32000 1000000 9 1 0E-49
(32+4)(8+1) 32000 1000000 9 2 0E-49
(32+4)(8+1) 32000 1000000 9 3 0E-49
(32+4)(8+1) 32000 1000000 9 4 0E-49
(32+4)(8+1) 32000 1000000 9 5 0E-49
(32+4)(8+1) 32000 1000000 9 6 2.089659886913645241099947783232257550584015E-8
(32+4)(8+1) 32000 1000000 9 7 7.027282688836235018991833164948600112882168E-8
(32+4)(8+1) 32000 1000000 9 8 1.4895885594092211553701018631014386526570077E-7
(32+4)(8+1) 32000 1000000 9 9 2.5512359152578023752123123053519364097101070E-7
