config total_drives chunks_per_disk failed_disks affected_racks dl_prob
(16+2)(8+1) 32000 1000000 1 1 0E-49
(16+2)(8+1) 32000 1000000 2 1 0E-49
(16+2)(8+1) 32000 1000000 2 2 0E-49
(16+2)(8+1) 32000 1000000 3 1 0E-49
(16+2)(8+1) 32000 1000000 3 2 0E-49
(16+2)(8+1) 32000 1000000 3 3 0E-49
(16+2)(8+1) 32000 1000000 4 1 0E-49
(16+2)(8+1) 32000 1000000 4 2 0E-49
(16+2)(8+1) 32000 1000000 4 3 0E-49
(16+2)(8+1) 32000 1000000 4 4 0.00017888326433297383766116500491600198596121963129
(16+2)(8+1) 32000 1000000 5 1 0E-49
(16+2)(8+1) 32000 1000000 5 2 0E-49
(16+2)(8+1) 32000 1000000 5 3 0E-49
(16+2)(8+1) 32000 1000000 5 4 0.00035773452944370925066868411841067395926091756719
(16+2)(8+1) 32000 1000000 5 5 0.00089371483459335512956238964938972460558751136989
(16+2)(8+1) 32000 1000000 6 1 0E-49
(16+2)(8+1) 32000 1000000 6 2 0E-49
(16+2)(8+1) 32000 1000000 6 3 0E-49
(16+2)(8+1) 32000 1000000 6 4 0.00066038070196690695758489620008089109892519007339
(16+2)(8+1) 32000 1000000 6 5 0.00160803532925734363212652395416675456808046251856
(16+2)(8+1) 32000 1000000 6 6 0.00267760691612536824814014473113326045486489003348
(16+2)(8+1) 32000 1000000 7 1 0E-49
(16+2)(8+1) 32000 1000000 7 2 0E-49
(16+2)(8+1) 32000 1000000 7 3 0E-49
(16+2)(8+1) 32000 1000000 7 4 0.00114451489957592978336152339376134988187065813946
(16+2)(8+1) 32000 1000000 7 5 0.00272319296424905548919760245591031028054147726852
(16+2)(8+1) 32000 1000000 7 6 0.00445831388011401568635500323046136451625978793171
(16+2)(8+1) 32000 1000000 7 7 0.00623394580081301829280240672384417096025554934719
(16+2)(8+1) 32000 1000000 8 1 0E-49
(16+2)(8+1) 32000 1000000 8 2 0E-49
(16+2)(8+1) 32000 1000000 8 3 0E-49
(16+2)(8+1) 32000 1000000 8 4 0.00188354076733103443181145712578337779088709054311
(16+2)(8+1) 32000 1000000 8 5 0.00438924614016240611751346013757689631967117134578
(16+2)(8+1) 32000 1000000 8 6 0.00707664229502782205073122068434770268865654895561
(16+2)(8+1) 32000 1000000 8 7 0.00977760318316744917190462866776770572817892843990
(16+2)(8+1) 32000 1000000 8 8 0.01242375622942460905944134211220666094161620578851
(16+2)(8+1) 32000 1000000 9 1 0E-49
(16+2)(8+1) 32000 1000000 9 2 0E-49
(16+2)(8+1) 32000 1000000 9 3 0E-49
(16+2)(8+1) 32000 1000000 9 4 0.00296770034912497575759631828512814686357104931259
(16+2)(8+1) 32000 1000000 9 5 0.00678728235267048481363172025920399786237945461416
(16+2)(8+1) 32000 1000000 9 6 0.01079178592955275415367041150922340518133966817493
(16+2)(8+1) 32000 1000000 9 7 0.01474905999025827620953111968292132504871727086114
(16+2)(8+1) 32000 1000000 9 8 0.01857501256076506033108426804716839349842687797485
(16+2)(8+1) 32000 1000000 9 9 0.02224214351120931034755978794186267220666421110599
(16+2)(8+1) 32000 1000000 10 1 0E-49
(16+2)(8+1) 32000 1000000 10 2 0E-49
(16+2)(8+1) 32000 1000000 10 3 0E-49
(16+2)(8+1) 32000 1000000 10 4 0.00450466821409218095489837668115857602707259469331
(16+2)(8+1) 32000 1000000 10 5 0.01012976849295071525904901888943653745851624002298
(16+2)(8+1) 32000 1000000 10 6 0.01590319392392595977024981934251853843301276600283
(16+2)(8+1) 32000 1000000 10 7 0.02151795499989105529887039870241943838468309916403
(16+2)(8+1) 32000 1000000 10 8 0.02687816059542012705024112612289884216103952077528
(16+2)(8+1) 32000 1000000 10 9 0.03196291733847489346535626941273986777432966646077
(16+2)(8+1) 32000 1000000 10 10 0.03677929790726396982869809229547300756458362876882
(16+2)(8+1) 32000 1000000 11 1 0E-49
(16+2)(8+1) 32000 1000000 11 2 0E-49
(16+2)(8+1) 32000 1000000 11 3 0E-49
(16+2)(8+1) 32000 1000000 11 4 0.00661956617897491528330562035987603903793731071366
(16+2)(8+1) 32000 1000000 11 5 0.01465959177831854416020617876451314382835873881528
(16+2)(8+1) 32000 1000000 11 6 0.02274762570671243493049949862620324079412503276946
(16+2)(8+1) 32000 1000000 11 7 0.03049357229814741336377168732599630811664008560222
(16+2)(8+1) 32000 1000000 11 8 0.03779828932008687654116455278022978737569672873921
(16+2)(8+1) 32000 1000000 11 9 0.04465797017002015593975155810819902469827465964697
(16+2)(8+1) 32000 1000000 11 10 0.05110031611335896346378611518703920131796857624928
(16+2)(8+1) 32000 1000000 11 11 0.05716176065189906342384121771680096170336228805179
(16+2)(8+1) 32000 1000000 12 1 0E-49
(16+2)(8+1) 32000 1000000 12 2 0E-49
(16+2)(8+1) 32000 1000000 12 3 0E-49
(16+2)(8+1) 32000 1000000 12 4 0.00945437629548026935867541278310524849553311098161
(16+2)(8+1) 32000 1000000 12 5 0.02064759317248210190672194238357444623661031612016
(16+2)(8+1) 32000 1000000 12 6 0.03169362780629604789850708947424420138670742436005
(16+2)(8+1) 32000 1000000 12 7 0.04211562977298138098804237090789457687128339914961
(16+2)(8+1) 32000 1000000 12 8 0.05182621055418039146738619057564990211001661183053
(16+2)(8+1) 32000 1000000 12 9 0.06085429887026412022232389994297810383058102694338
(16+2)(8+1) 32000 1000000 12 10 0.06926121281260510046506101129159555289969654445608
(16+2)(8+1) 32000 1000000 12 11 0.07711291540410866728201805480130756095314741935662
(16+2)(8+1) 32000 1000000 12 12 0.08447090031570374547892015487548782984510641256633
(16+2)(8+1) 32000 1000000 13 1 0E-49
(16+2)(8+1) 32000 1000000 13 2 0E-49
(16+2)(8+1) 32000 1000000 13 3 0E-49
(16+2)(8+1) 32000 1000000 13 4 0.01316674343382284429349591102588237784430425407567
(16+2)(8+1) 32000 1000000 13 5 0.02838839167913689743326589724815073795937187104928
(16+2)(8+1) 32000 1000000 13 6 0.04313302619265910344789971259176238807288770038580
(16+2)(8+1) 32000 1000000 13 7 0.05684084430161262829647576163731524196637840883369
(16+2)(8+1) 32000 1000000 13 8 0.06945998779201640631646816609233989747443879484244
(16+2)(8+1) 32000 1000000 13 9 0.08107444270684495281056960135067801456290466787563
(16+2)(8+1) 32000 1000000 13 10 0.09179684456667290946692288790311907793185849319425
(16+2)(8+1) 32000 1000000 13 11 0.10173619977509367848538652072405459115314727155400
(16+2)(8+1) 32000 1000000 13 12 0.11098903567187633521401131405823450856551120875117
(16+2)(8+1) 32000 1000000 13 13 0.11963819948707224908243799743827442713117829626709
(16+2)(8+1) 32000 1000000 14 1 0E-49
(16+2)(8+1) 32000 1000000 14 2 0E-49
(16+2)(8+1) 32000 1000000 14 3 0E-49
(16+2)(8+1) 32000 1000000 14 4 0.01792816370721455224728597753222471159138728868683
(16+2)(8+1) 32000 1000000 14 5 0.03819430487699981135803970157209769935103364948137
(16+2)(8+1) 32000 1000000 14 6 0.05746907199843796111440355764384951611117861845361
(16+2)(8+1) 32000 1000000 14 7 0.07512483889732377455845744297312198275393881985312
(16+2)(8+1) 32000 1000000 14 8 0.09118073351740246556846002838832323354137019971090
(16+2)(8+1) 32000 1000000 14 9 0.10580657509111304410024928751663911374449725274061
(16+2)(8+1) 32000 1000000 14 10 0.11918976893989539990273059783005824446715177286869
(16+2)(8+1) 32000 1000000 14 11 0.13149977275613322794755076115184408488090034303711
(16+2)(8+1) 32000 1000000 14 12 0.14288109277766714589385124295009487607353963952973
(16+2)(8+1) 32000 1000000 14 13 0.15345465254039619548425448807878696328435138088745
(16+2)(8+1) 32000 1000000 14 14 0.16332124356213203781962187552859404757647099626741
(16+2)(8+1) 32000 1000000 15 1 0E-49
(16+2)(8+1) 32000 1000000 15 2 0E-49
(16+2)(8+1) 32000 1000000 15 3 0E-49
(16+2)(8+1) 32000 1000000 15 4 0.02392155378554651405352011649598825091049422039787
(16+2)(8+1) 32000 1000000 15 5 0.05038719870334404418189206886820804069985578345486
(16+2)(8+1) 32000 1000000 15 6 0.07510098815501748634719579705528409558129932485530
(16+2)(8+1) 32000 1000000 15 7 0.09739919937036443898932087494962303786117591990055
(16+2)(8+1) 32000 1000000 15 8 0.11742267971440503549629870900306019610096502559227
(16+2)(8+1) 32000 1000000 15 9 0.13546835610636867303159421727139676563253289121084
(16+2)(8+1) 32000 1000000 15 10 0.15182870470755086655793442332282784489722920647176
(16+2)(8+1) 32000 1000000 15 11 0.16675549956441818130410789481060794260970283331634
(16+2)(8+1) 32000 1000000 15 12 0.18045710384174603758592895802753501633035171284945
(16+2)(8+1) 32000 1000000 15 13 0.19310420617261920244401206531031511375327016527352
(16+2)(8+1) 32000 1000000 15 14 0.20483676022128324990873464952226193381128630758337
(16+2)(8+1) 32000 1000000 15 15 0.21577014847827534553344250177367818055773216382360
(16+2)(8+1) 32000 1000000 16 1 0E-49
(16+2)(8+1) 32000 1000000 16 2 0E-49
(16+2)(8+1) 32000 1000000 16 3 0E-49
(16+2)(8+1) 32000 1000000 16 4 0.03133819228250057909032454394431372294725251482198
(16+2)(8+1) 32000 1000000 16 5 0.06528815742606572633140369098063349992241599858450
(16+2)(8+1) 32000 1000000 16 6 0.09640485837908724834224349906709061816913709854504
(16+2)(8+1) 32000 1000000 16 7 0.12404387601387260875919820099180789842981797449570
(16+2)(8+1) 32000 1000000 16 8 0.14853813882398143977044235034906231395810256176675
(16+2)(8+1) 32000 1000000 16 9 0.17036570045233543428446591043061509445176578213184
(16+2)(8+1) 32000 1000000 16 10 0.18996231931812425063096892622701740217311007654585
(16+2)(8+1) 32000 1000000 16 11 0.20768884950067914046927345366343562059295720351989
(16+2)(8+1) 32000 1000000 16 12 0.22383644651013490478242297924950224032606257652423
(16+2)(8+1) 32000 1000000 16 13 0.23863917588532243974447522954163600163895410816202
(16+2)(8+1) 32000 1000000 16 14 0.25228610623662446625072279722468388814680749891249
(16+2)(8+1) 32000 1000000 16 15 0.26493118740747344807691451769348763258789423769865
(16+2)(8+1) 32000 1000000 16 16 0.27670091890876877296871875679300668314404796794026
(16+2)(8+1) 32000 1000000 17 1 0E-49
