config total_drives failed_disks affected_racks dl_prob nines sigma failed_iters total_iters adapt
(1+0)(8+2) 32000 80 1 0.9995 nines sigma 9995 10000 notadapt
(1+0)(8+2) 32000 81 1 0.9999 nines sigma 9999 10000 notadapt
(1+0)(8+2) 32000 82 1 0.9995 nines sigma 9995 10000 notadapt
(1+0)(8+2) 32000 83 1 0.9994 nines sigma 9994 10000 notadapt
(1+0)(8+2) 32000 84 1 0.9997 nines sigma 9997 10000 notadapt
(1+0)(8+2) 32000 85 1 0.9999 nines sigma 9999 10000 notadapt
(1+0)(8+2) 32000 86 1 0.9999 nines sigma 9999 10000 notadapt
(1+0)(8+2) 32000 87 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 88 1 0.9999 nines sigma 9999 10000 notadapt
(1+0)(8+2) 32000 89 1 0.9999 nines sigma 9999 10000 notadapt
(1+0)(8+2) 32000 90 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 91 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 92 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 93 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 94 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 95 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 96 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 97 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 98 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 99 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 100 1 1.0 nines sigma 10000 10000 notadapt
(1+0)(8+2) 32000 2 2 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 3 2 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 4 2 0.0 nines sigma 0 10000 notadapt
(1+0)(8+2) 32000 5 2 0.0001 nines sigma 1 10000 notadapt
(1+0)(8+2) 32000 6 2 0.0003 nines sigma 3 10000 notadapt
(1+0)(8+2) 32000 7 2 0.0013 nines sigma 13 10000 notadapt
(1+0)(8+2) 32000 8 2 0.001 nines sigma 10 10000 notadapt
(1+0)(8+2) 32000 9 2 0.003 nines sigma 30 10000 notadapt
(1+0)(8+2) 32000 10 2 0.0042 nines sigma 42 10000 notadapt
(1+0)(8+2) 32000 11 2 0.005 nines sigma 50 10000 notadapt
(1+0)(8+2) 32000 12 2 0.0057 nines sigma 57 10000 notadapt
(1+0)(8+2) 32000 13 2 0.0079 nines sigma 79 10000 notadapt
(1+0)(8+2) 32000 14 2 0.0092 nines sigma 92 10000 notadapt
(1+0)(8+2) 32000 15 2 0.0123 nines sigma 123 10000 notadapt
(1+0)(8+2) 32000 16 2 0.016 nines sigma 160 10000 notadapt
(1+0)(8+2) 32000 17 2 0.0185 nines sigma 185 10000 notadapt
(1+0)(8+2) 32000 18 2 0.0194 nines sigma 194 10000 notadapt
(1+0)(8+2) 32000 19 2 0.0261 nines sigma 261 10000 notadapt
(1+0)(8+2) 32000 20 2 0.0304 nines sigma 304 10000 notadapt
(1+0)(8+2) 32000 21 2 0.0337 nines sigma 337 10000 notadapt
(1+0)(8+2) 32000 22 2 0.0396 nines sigma 396 10000 notadapt
(1+0)(8+2) 32000 23 2 0.0453 nines sigma 453 10000 notadapt
(1+0)(8+2) 32000 24 2 0.0549 nines sigma 549 10000 notadapt
(1+0)(8+2) 32000 25 2 0.06 nines sigma 600 10000 notadapt
(1+0)(8+2) 32000 26 2 0.0642 nines sigma 642 10000 notadapt
(1+0)(8+2) 32000 27 2 0.0757 nines sigma 757 10000 notadapt
(1+0)(8+2) 32000 28 2 0.0854 nines sigma 854 10000 notadapt
(1+0)(8+2) 32000 29 2 0.0882 nines sigma 882 10000 notadapt
(1+0)(8+2) 32000 30 2 0.0999 nines sigma 999 10000 notadapt
(1+0)(8+2) 32000 31 2 0.1118 nines sigma 1118 10000 notadapt
(1+0)(8+2) 32000 32 2 0.1187 nines sigma 1187 10000 notadapt
